product_a_id,product_a_name,product_b_id,product_b_name,corr,nonzero_both_days,product_a_nonzero_days,product_b_nonzero_days,n_days
11002170,三养辣火鸡味拌面,11002561,乡吧哥蜜汁鸡翅,0.5206748950382577,516,530,710,730
11002170,三养辣火鸡味拌面,11008516,李子柒螺蛳粉335g,0.5061976678676354,400,530,491,730
11002561,乡吧哥蜜汁鸡翅,12000134,百事可乐600ml,0.4759887030123432,708,710,728,730
11002561,乡吧哥蜜汁鸡翅,11005780,大丰古法瓜子,0.4756539058658485,683,710,701,730
11002561,乡吧哥蜜汁鸡翅,11002605,老板仔香脆海苔卷（原味）,0.47456451799626115,542,710,546,730
11001020,韩国海牌海苔 / 韩国海飘海苔,11002605,老板仔香脆海苔卷（原味）,0.4654772358292583,530,701,546,730
11002561,乡吧哥蜜汁鸡翅,11008516,李子柒螺蛳粉335g,0.4458341910780182,490,710,491,730
11001020,韩国海牌海苔 / 韩国海飘海苔,11005780,大丰古法瓜子,0.4314154492934982,673,701,701,730
11001020,韩国海牌海苔 / 韩国海飘海苔,11002561,乡吧哥蜜汁鸡翅,0.42643447846516713,684,701,710,730
11002170,三养辣火鸡味拌面,12000134,百事可乐600ml,0.4130585897541929,530,530,728,730
11002605,老板仔香脆海苔卷（原味）,11005780,大丰古法瓜子,0.4087181232040059,528,546,701,730
11002561,乡吧哥蜜汁鸡翅,12001131,旺仔牛奶,0.37057430933762014,668,710,681,730
12000134,百事可乐600ml,12001131,旺仔牛奶,0.3562751952075634,679,728,681,730
11000405,百事可乐330ml,12000134,百事可乐600ml,0.355611553767181,705,707,728,730
11002170,三养辣火鸡味拌面,11005780,大丰古法瓜子,0.3518002478787983,507,530,701,730
11008516,李子柒螺蛳粉335g,12000134,百事可乐600ml,0.33613689830877197,489,491,728,730
11000405,百事可乐330ml,12001131,旺仔牛奶,0.3183806953176822,664,707,681,730
11002170,三养辣火鸡味拌面,12001131,旺仔牛奶,0.2934489600229618,505,530,681,730
11005780,大丰古法瓜子,11008516,李子柒螺蛳粉335g,0.2893586732860658,473,701,491,730
11000405,百事可乐330ml,11002561,乡吧哥蜜汁鸡翅,0.26931212585505465,693,707,710,730
11001020,韩国海牌海苔 / 韩国海飘海苔,12000134,百事可乐600ml,0.26199689327877596,699,701,728,730
11002605,老板仔香脆海苔卷（原味）,12000134,百事可乐600ml,0.25777118635002777,544,546,728,730
11008516,李子柒螺蛳粉335g,12001131,旺仔牛奶,0.24295700066201018,479,491,681,730
11000405,百事可乐330ml,11008516,李子柒螺蛳粉335g,0.24054014900952606,484,707,491,730
11005780,大丰古法瓜子,12001131,旺仔牛奶,0.2403268964107915,654,701,681,730
11002605,老板仔香脆海苔卷（原味）,12001131,旺仔牛奶,0.23431104704281386,527,546,681,730
11001020,韩国海牌海苔 / 韩国海飘海苔,12001131,旺仔牛奶,0.2298152416859931,655,701,681,730
11000405,百事可乐330ml,11002170,三养辣火鸡味拌面,0.227910658947405,518,707,530,730
11001020,韩国海牌海苔 / 韩国海飘海苔,11002170,三养辣火鸡味拌面,0.22374669425728747,513,701,530,730
11000405,百事可乐330ml,11001020,韩国海牌海苔 / 韩国海飘海苔,0.21496966089140637,679,707,701,730
11005780,大丰古法瓜子,12000134,百事可乐600ml,0.19795905121094273,699,701,728,730
11000405,百事可乐330ml,11002605,老板仔香脆海苔卷（原味）,0.18735042975510033,537,707,546,730
11001020,韩国海牌海苔 / 韩国海飘海苔,11008516,李子柒螺蛳粉335g,0.1837053288094941,473,701,491,730
12000134,百事可乐600ml,12000292,红牛,0.165396184265421,726,728,728,730
11002605,老板仔香脆海苔卷（原味）,11008516,李子柒螺蛳粉335g,0.14287668184600483,391,546,491,730
11002561,乡吧哥蜜汁鸡翅,12000292,红牛,0.1327992543101957,708,710,728,730
12000292,红牛,12001131,旺仔牛奶,0.13029661683505592,680,728,681,730
11002170,三养辣火鸡味拌面,11002605,老板仔香脆海苔卷（原味）,0.13027845685874928,411,530,546,730
11000405,百事可乐330ml,12000292,红牛,0.11002660026197057,705,707,728,730
11002170,三养辣火鸡味拌面,12000292,红牛,0.10695744701208022,529,530,728,730
11002605,老板仔香脆海苔卷（原味）,12000292,红牛,0.1043086127070616,544,546,728,730
11002605,老板仔香脆海苔卷（原味）,11004973,特仑苏纯牛奶,0.09138696337423541,301,546,391,730
11000405,百事可乐330ml,11005780,大丰古法瓜子,0.08464647315364125,679,707,701,730
11005780,大丰古法瓜子,12000292,红牛,0.06531161828445428,699,701,728,730
11008516,李子柒螺蛳粉335g,12000292,红牛,0.053847913940089566,491,491,728,730
11004973,特仑苏纯牛奶,12001131,旺仔牛奶,0.04480284499140498,368,391,681,730
11008644,洽洽早餐每日坚果（燕麦片）,12000134,百事可乐600ml,0.04098807470776368,17,17,728,730
11001020,韩国海牌海苔 / 韩国海飘海苔,12000292,红牛,0.03736929951250836,699,701,728,730
11004973,特仑苏纯牛奶,12000134,百事可乐600ml,0.0355682161436398,391,391,728,730
11008644,洽洽早餐每日坚果（燕麦片）,12001131,旺仔牛奶,0.034275044959012575,17,17,681,730
11001020,韩国海牌海苔 / 韩国海飘海苔,11004973,特仑苏纯牛奶,0.028309985864461353,374,701,391,730
11002561,乡吧哥蜜汁鸡翅,11008644,洽洽早餐每日坚果（燕麦片）,0.0238964470781826,17,710,17,730
11002170,三养辣火鸡味拌面,11004973,特仑苏纯牛奶,0.022911661386726373,288,530,391,730
