variable_name,term,factor,variable,coef,std_err,t_value,p_value,significance,direction,comparable_abs_effect,interpretation,level_n_days,sample_size_note
天气组：雨夹雪,"C(weather_group, Treatment(reference='no_precip'))[T.sleet_rare]",weather_group,sleet_rare,0.32883446213437734,0.062303276514048746,5.27796418636552,1.3062698631314562e-07,***,正关联,0.32883446213437734,相对无降水基准组的 log(1+销量) 差异,3.0,该天气组合样本天数少，系数需谨慎解释
活动日,is_activity_day,is_activity_day,is_activity_day,0.3246320843379134,0.03893827428534588,8.337094807000376,7.613801456952229e-17,***,正关联,0.3246320843379134,0/1 变量从 0 到 1 的 log(1+销量) 差异,,
前 28 日滚动均值,rolling_28_prev,rolling_28_prev,rolling_28_prev,0.08053164137980756,0.02809809282758271,2.8660892350940297,0.004155770849023892,***,正关联,0.1323019822668267,连续变量按四分位距变化折算的 log(1+销量) 差异,,
天气组：中大雨及以上,"C(weather_group, Treatment(reference='no_precip'))[T.moderate_heavy_rain]",weather_group,moderate_heavy_rain,-0.05361894557222745,0.014807551407163411,-3.621054156616897,0.0002934050830725423,***,负关联,0.05361894557222745,相对无降水基准组的 log(1+销量) 差异,39.0,
节假日,is_holiday,is_holiday,is_holiday,0.045633417577182464,0.013885504218005483,3.286406950783186,0.0010147429310930424,***,正关联,0.045633417577182464,0/1 变量从 0 到 1 的 log(1+销量) 差异,,
周末,is_weekend,is_weekend,is_weekend,0.04120321660639188,0.007080037562559338,5.8196324867374685,5.897716011798747e-09,***,正关联,0.04120321660639188,0/1 变量从 0 到 1 的 log(1+销量) 差异,,
风力,wind_power,wind_power,wind_power,-0.01152740534723326,0.0033055324089610724,-3.487306709195545,0.0004879114649679403,***,负关联,0.02305481069446652,连续变量按四分位距变化折算的 log(1+销量) 差异,,
平均温度,avg_temperature,avg_temperature,avg_temperature,0.0010581320069523847,0.001358533767852768,0.7788779579802542,0.436051609345658,,正关联,0.01587198010428577,连续变量按四分位距变化折算的 log(1+销量) 差异,,
昼夜温差,temperature_range,temperature_range,temperature_range,-0.002423337593294618,0.0013883352757811172,-1.7454988255132962,0.08089807671854603,*,负关联,0.01211668796647309,连续变量按四分位距变化折算的 log(1+销量) 差异,,
天气组：小雨/阵雨,"C(weather_group, Treatment(reference='no_precip'))[T.light_rain]",weather_group,light_rain,-0.006506402749605444,0.007325211099868455,-0.8882205114501458,0.3744221475318317,,负关联,0.006506402749605444,相对无降水基准组的 log(1+销量) 差异,281.0,
7 日滞后销量,lag_7,lag_7,lag_7,-0.00018389448266374086,0.00020689846042950958,-0.8888151331913551,0.3741024414247932,,负关联,0.00018389448266374086,连续变量按四分位距变化折算的 log(1+销量) 差异,,
