holdout_window_start,selected_model_on_other_windows,selected_label_on_other_windows,selected_train_WAPE_pct,eval_type,eval_model,eval_label,MAE,RMSE,WAPE,WAPE_pct,actual_sum,prediction_sum,abs_error_sum,bias,bias_pct_of_actual,n,selected_holdout_WAPE_pct,current_holdout_WAPE_pct,WAPE_pct_point_change_vs_current_holdout
2022-03-01,hybrid_current_rule_recent28_mean,当前低销量规则-低销量用近28日均值,75.79930891779586,current_hybrid,hybrid_current_q1_regular_ridge,当前混合策略：低销量指数平滑-常规Ridge,1.6494832658908554,3.4902938206594945,0.7392797788154465,73.92797788154465,1187.0,1056.422472449697,877.525097453935,-130.5775275503031,-0.11000634165990152,532,72.2329822145999,73.92797788154465,0.0
2022-03-01,hybrid_current_rule_recent28_mean,当前低销量规则-低销量用近28日均值,75.79930891779586,q1_baseline,q1_store_product_exp_smoothing,问题一简单指数平滑,1.6857449465013419,3.5646786935498644,0.7555318547082678,75.55318547082678,1187.0,1029.6049881619874,896.8163115387139,-157.39501183801258,-0.13259899902107208,532,72.2329822145999,73.92797788154465,1.6252075892821267
2022-03-01,hybrid_current_rule_recent28_mean,当前低销量规则-低销量用近28日均值,75.79930891779586,ridge_baseline,ridge_full_external,完整综合Ridge,1.6296503057074327,3.443245249976789,0.7303908699548056,73.03908699548056,1187.0,1051.7672202427993,866.9739626363543,-135.23277975720066,-0.11392820535568716,532,72.2329822145999,73.92797788154465,-0.8888908860640896
2022-03-01,hybrid_current_rule_recent28_mean,当前低销量规则-低销量用近28日均值,75.79930891779586,selected_by_other_windows,hybrid_current_rule_recent28_mean,当前低销量规则-低销量用近28日均值,1.6116644715926705,3.484829714782867,0.722329822145999,72.2329822145999,1187.0,1033.1878532449045,857.4054988873007,-153.81214675509545,-0.12958057856368616,532,72.2329822145999,73.92797788154465,-1.6949956669447488
2022-03-08,hybrid_avg_lt_0_3_or_zero_ge_0_75_recent28_mean,历史均值 <0.3 或零销量比例 >=0.75-低销量用近28日均值,77.3994289121178,current_hybrid,hybrid_current_q1_regular_ridge,当前混合策略：低销量指数平滑-常规Ridge,1.972053940984983,4.136986743609166,0.7069627335606543,70.69627335606543,1484.0,1375.5208346609963,1049.132696604011,-108.47916533900366,-0.07309916801819653,532,69.05851938981041,70.69627335606543,0.0
2022-03-08,hybrid_avg_lt_0_3_or_zero_ge_0_75_recent28_mean,历史均值 <0.3 或零销量比例 >=0.75-低销量用近28日均值,77.3994289121178,q1_baseline,q1_store_product_exp_smoothing,问题一简单指数平滑,1.9898845909428673,4.272989118757483,0.7133548533568769,71.3354853356877,1484.0,1163.5165543448602,1058.6186023816053,-320.4834456551398,-0.21595919518540418,532,69.05851938981041,70.69627335606543,0.6392119796222602
2022-03-08,hybrid_avg_lt_0_3_or_zero_ge_0_75_recent28_mean,历史均值 <0.3 或零销量比例 >=0.75-低销量用近28日均值,77.3994289121178,ridge_baseline,ridge_full_external,完整综合Ridge,2.0331073737375456,4.12024990865743,0.7288498132266673,72.88498132266673,1484.0,1429.4402112860266,1081.6131228283743,-54.559788713973376,-0.03676535627626238,532,69.05851938981041,70.69627335606543,2.1887079666012994
2022-03-08,hybrid_avg_lt_0_3_or_zero_ge_0_75_recent28_mean,历史均值 <0.3 或零销量比例 >=0.75-低销量用近28日均值,77.3994289121178,selected_by_other_windows,hybrid_avg_lt_0_3_or_zero_ge_0_75_recent28_mean,历史均值 <0.3 或零销量比例 >=0.75-低销量用近28日均值,1.926369225084185,4.104127970832066,0.6905851938981041,69.05851938981041,1484.0,1325.705612210082,1024.8284277447865,-158.2943877899179,-0.1066673772169258,532,69.05851938981041,70.69627335606543,-1.6377539662550191
2022-03-15,hybrid_avg_lt_0_3_or_zero_ge_0_75_recent28_mean,历史均值 <0.3 或零销量比例 >=0.75-低销量用近28日均值,71.14893028769153,current_hybrid,hybrid_current_q1_regular_ridge,当前混合策略：低销量指数平滑-常规Ridge,1.931550553958937,3.8542138018145273,0.8835639679330649,88.35639679330649,1163.0,1363.761406811373,1027.5848947061545,200.76140681137304,0.1726237375850155,532,87.70599289054381,88.35639679330649,0.0
2022-03-15,hybrid_avg_lt_0_3_or_zero_ge_0_75_recent28_mean,历史均值 <0.3 或零销量比例 >=0.75-低销量用近28日均值,71.14893028769153,q1_baseline,q1_store_product_exp_smoothing,问题一简单指数平滑,1.9032025477828434,3.8253464200866265,0.8705965222875948,87.05965222875948,1163.0,1332.7985629986065,1012.5037554204727,169.79856299860649,0.14600048409166508,532,87.70599289054381,88.35639679330649,-1.2967445645470121
2022-03-15,hybrid_avg_lt_0_3_or_zero_ge_0_75_recent28_mean,历史均值 <0.3 或零销量比例 >=0.75-低销量用近28日均值,71.14893028769153,ridge_baseline,ridge_full_external,完整综合Ridge,1.9376131985968368,3.83951265260085,0.8863372499170397,88.63372499170397,1163.0,1376.0646804665853,1030.8102216535171,213.0646804665853,0.18320264872449293,532,87.70599289054381,88.35639679330649,0.277328198397484
2022-03-15,hybrid_avg_lt_0_3_or_zero_ge_0_75_recent28_mean,历史均值 <0.3 或零销量比例 >=0.75-低销量用近28日均值,71.14893028769153,selected_by_other_windows,hybrid_avg_lt_0_3_or_zero_ge_0_75_recent28_mean,历史均值 <0.3 或零销量比例 >=0.75-低销量用近28日均值,1.9173321378139556,3.8228995740302145,0.877059928905438,87.70599289054381,1163.0,1342.5214531762479,1020.0206973170244,179.52145317624786,0.15436066481190702,532,87.70599289054381,88.35639679330649,-0.650403902762676
2022-03-22,hybrid_zero_ge_0_6_recent28_mean,零销量比例 >=0.6-低销量用近28日均值,75.13809580115634,current_hybrid,hybrid_current_q1_regular_ridge,当前混合策略：低销量指数平滑-常规Ridge,1.662891206316402,3.33982840494586,0.7209927642708442,72.09927642708442,1227.0,1144.0115665767016,884.6581217603259,-82.98843342329837,-0.06763523506381286,532,75.3400395429634,72.09927642708442,0.0
2022-03-22,hybrid_zero_ge_0_6_recent28_mean,零销量比例 >=0.6-低销量用近28日均值,75.13809580115634,q1_baseline,q1_store_product_exp_smoothing,问题一简单指数平滑,1.6840968237691318,3.365605167873976,0.7301870499145706,73.01870499145706,1227.0,1206.941558028654,895.9395102451781,-20.05844197134593,-0.01634754846890459,532,75.3400395429634,72.09927642708442,0.9194285643726374
2022-03-22,hybrid_zero_ge_0_6_recent28_mean,零销量比例 >=0.6-低销量用近28日均值,75.13809580115634,ridge_baseline,ridge_full_external,完整综合Ridge,1.6946858542011258,3.35547399700514,0.7347782187734303,73.47782187734303,1227.0,1161.101291215908,901.572874434999,-65.89870878409192,-0.0537071791231393,532,75.3400395429634,72.09927642708442,1.3785454502586134
2022-03-22,hybrid_zero_ge_0_6_recent28_mean,零销量比例 >=0.6-低销量用近28日均值,75.13809580115634,selected_by_other_windows,hybrid_zero_ge_0_6_recent28_mean,零销量比例 >=0.6-低销量用近28日均值,1.737635874421355,3.4117793774021785,0.753400395429634,75.3400395429634,1227.0,1186.8867133472816,924.4222851921609,-40.11328665271844,-0.03269216516113973,532,75.3400395429634,72.09927642708442,3.240763115878977
