product_id,raw_cluster,train_total_sales,product_name,product_label,category,group_label
12000292,1,29556,红牛,12000292-红牛,功能饮料,相关聚类1
11002561,2,17175,乡吧哥蜜汁鸡翅,11002561-乡吧哥蜜汁鸡翅,包装散称,相关聚类2
11001020,2,5053,韩国海牌海苔 / 韩国海飘海苔,11001020-韩国海牌海苔 / 韩国海飘海苔,包装海苔,相关聚类2
11005780,2,3869,大丰古法瓜子,11005780-大丰古法瓜子,包装坚果,相关聚类2
11002605,2,2128,老板仔香脆海苔卷（原味）,11002605-老板仔香脆海苔卷（原味）,包装海苔,相关聚类2
12000134,0,11604,百事可乐600ml,12000134-百事可乐600ml,碳酸饮料,相关聚类3
11000405,0,8457,百事可乐330ml,11000405-百事可乐330ml,碳酸饮料,相关聚类3
12001131,0,6498,旺仔牛奶,12001131-旺仔牛奶,乳类饮品,相关聚类3
11008516,5,2296,李子柒螺蛳粉335g,11008516-李子柒螺蛳粉335g,速食类,相关聚类4
11002170,5,1556,三养辣火鸡味拌面,11002170-三养辣火鸡味拌面,速食类,相关聚类4
11004973,3,676,特仑苏纯牛奶,11004973-特仑苏纯牛奶,乳类饮品,相关聚类5
11008644,4,57,洽洽早餐每日坚果（燕麦片）,11008644-洽洽早餐每日坚果（燕麦片）,包装冲饮,相关聚类6
