product_a,product_b,same_day_corr,best_lag_days,best_lag_corr,abs_gain_vs_same_day,lead_interpretation
11002170-三养辣火鸡味拌面,11008516-李子柒螺蛳粉335g,0.5272403272492231,-7,0.5304960497546826,0.0032557225054594685,product_b领先product_a
11002170-三养辣火鸡味拌面,11002561-乡吧哥蜜汁鸡翅,0.5182483645850778,-5,0.5247781772656058,0.006529812680527991,product_b领先product_a
11002561-乡吧哥蜜汁鸡翅,11002605-老板仔香脆海苔卷（原味）,0.48780519988578086,-1,0.4882038521042703,0.0003986522184894481,product_b领先product_a
11002561-乡吧哥蜜汁鸡翅,12000134-百事可乐600ml,0.48043274093190996,-1,0.480071761363259,-0.00036097956865094316,product_b领先product_a
11002561-乡吧哥蜜汁鸡翅,11005780-大丰古法瓜子,0.4760914343254546,-2,0.4770413343380525,0.0009499000125979262,product_b领先product_a
11001020-韩国海牌海苔 / 韩国海飘海苔,11002605-老板仔香脆海苔卷（原味）,0.46938572489291114,-3,0.47017366381997144,0.0007879389270603054,product_b领先product_a
11002561-乡吧哥蜜汁鸡翅,11008516-李子柒螺蛳粉335g,0.448247330759732,-1,0.4495886572197077,0.0013413264599757002,product_b领先product_a
11001020-韩国海牌海苔 / 韩国海飘海苔,11002561-乡吧哥蜜汁鸡翅,0.43234504116530903,-3,0.4343653614191777,0.002020320253868668,product_b领先product_a
11001020-韩国海牌海苔 / 韩国海飘海苔,11005780-大丰古法瓜子,0.4270070907355892,-6,0.43093084935815007,0.003923758622560891,product_b领先product_a
11002605-老板仔香脆海苔卷（原味）,11005780-大丰古法瓜子,0.41657749699924573,-2,0.41666529919097745,8.780219173171178e-05,product_b领先product_a
11002170-三养辣火鸡味拌面,12000134-百事可乐600ml,0.410856684761051,-5,0.4153794253162587,0.004522740555207683,product_b领先product_a
11002561-乡吧哥蜜汁鸡翅,12001131-旺仔牛奶,0.37075077322010475,-1,0.3703196970753825,-0.0004310761447222644,product_b领先product_a
11002170-三养辣火鸡味拌面,11005780-大丰古法瓜子,0.358668857556006,-6,0.3655909412316601,0.006922083675654056,product_b领先product_a
12000134-百事可乐600ml,12001131-旺仔牛奶,0.36066526701373375,-6,0.36039106747076854,-0.0002741995429652033,product_b领先product_a
11008516-李子柒螺蛳粉335g,12000134-百事可乐600ml,0.3487233126526896,-1,0.34783110420895147,-0.0008922084437381073,product_b领先product_a
11000405-百事可乐330ml,12000134-百事可乐600ml,0.3454069642015622,-1,0.34455311706373853,-0.0008538471378236601,product_b领先product_a
11000405-百事可乐330ml,12001131-旺仔牛奶,0.3184179142106934,-1,0.3178092088860987,-0.0006087053245946716,product_b领先product_a
11005780-大丰古法瓜子,11008516-李子柒螺蛳粉335g,0.3118979721066494,-7,0.31571447751473797,0.0038165054080885885,product_b领先product_a
11002170-三养辣火鸡味拌面,12001131-旺仔牛奶,0.2899601554079121,-6,0.3006359637797177,0.010675808371805595,product_b领先product_a
11001020-韩国海牌海苔 / 韩国海飘海苔,12000134-百事可乐600ml,0.2662621863826327,-3,0.2657324520541027,-0.0005297343285300404,product_b领先product_a
11002605-老板仔香脆海苔卷（原味）,12000134-百事可乐600ml,0.25852948631492656,-1,0.25873373187550847,0.00020424556058190602,product_b领先product_a
11000405-百事可乐330ml,11002561-乡吧哥蜜汁鸡翅,0.25813499895006925,-1,0.2570404152871965,-0.001094583662872739,product_b领先product_a
11008516-李子柒螺蛳粉335g,12001131-旺仔牛奶,0.25172403400528787,-7,0.25159173059276724,-0.00013230341252062905,product_b领先product_a
11005780-大丰古法瓜子,12001131-旺仔牛奶,0.24035816694554837,-2,0.24097635130759001,0.0006181843620416405,product_b领先product_a
11001020-韩国海牌海苔 / 韩国海飘海苔,11002170-三养辣火鸡味拌面,0.2275448277982287,-5,0.23796858015902247,0.010423752360793764,product_b领先product_a
