method,product_a,product_b,category_a,category_b,corr,nonzero_both_days,product_a_nonzero_days,product_b_nonzero_days
Pearson,11002170-三养辣火鸡味拌面,11008516-李子柒螺蛳粉335g,速食类,速食类,0.5272403272492234,369,499,460
Pearson,11002170-三养辣火鸡味拌面,11002561-乡吧哥蜜汁鸡翅,速食类,包装散称,0.5182483645850785,485,499,679
Pearson,11002561-乡吧哥蜜汁鸡翅,11002605-老板仔香脆海苔卷（原味）,包装散称,包装海苔,0.4878051998857806,516,679,520
Pearson,11002561-乡吧哥蜜汁鸡翅,12000134-百事可乐600ml,包装散称,碳酸饮料,0.4804327409319105,677,679,697
Pearson,11002561-乡吧哥蜜汁鸡翅,11005780-大丰古法瓜子,包装散称,包装坚果,0.47609143432545464,652,679,670
Pearson,11001020-韩国海牌海苔 / 韩国海飘海苔,11002605-老板仔香脆海苔卷（原味）,包装海苔,包装海苔,0.4693857248929112,504,670,520
Pearson,11002561-乡吧哥蜜汁鸡翅,11008516-李子柒螺蛳粉335g,包装散称,速食类,0.4482473307597323,459,679,460
Pearson,11001020-韩国海牌海苔 / 韩国海飘海苔,11002561-乡吧哥蜜汁鸡翅,包装海苔,包装散称,0.4323450411653087,653,670,679
Pearson,11001020-韩国海牌海苔 / 韩国海飘海苔,11005780-大丰古法瓜子,包装海苔,包装坚果,0.4270070907355888,642,670,670
Pearson,11002605-老板仔香脆海苔卷（原味）,11005780-大丰古法瓜子,包装海苔,包装坚果,0.41657749699924584,502,520,670
Pearson,11002170-三养辣火鸡味拌面,12000134-百事可乐600ml,速食类,碳酸饮料,0.41085668476105164,499,499,697
Pearson,11002561-乡吧哥蜜汁鸡翅,12001131-旺仔牛奶,包装散称,乳类饮品,0.3707507732201046,637,679,650
Pearson,12000134-百事可乐600ml,12001131-旺仔牛奶,碳酸饮料,乳类饮品,0.36066526701373364,648,697,650
Pearson,11002170-三养辣火鸡味拌面,11005780-大丰古法瓜子,速食类,包装坚果,0.358668857556006,476,499,670
Pearson,11008516-李子柒螺蛳粉335g,12000134-百事可乐600ml,速食类,碳酸饮料,0.3487233126526898,458,460,697
Pearson,11000405-百事可乐330ml,12000134-百事可乐600ml,碳酸饮料,碳酸饮料,0.3454069642015622,674,676,697
Pearson,11000405-百事可乐330ml,12001131-旺仔牛奶,碳酸饮料,乳类饮品,0.3184179142106928,633,676,650
Pearson,11005780-大丰古法瓜子,11008516-李子柒螺蛳粉335g,包装坚果,速食类,0.3118979721066496,442,670,460
Pearson,11002170-三养辣火鸡味拌面,12001131-旺仔牛奶,速食类,乳类饮品,0.28996015540791176,474,499,650
Pearson,11001020-韩国海牌海苔 / 韩国海飘海苔,12000134-百事可乐600ml,包装海苔,碳酸饮料,0.26626218638263277,668,670,697
Pearson,11002605-老板仔香脆海苔卷（原味）,12000134-百事可乐600ml,包装海苔,碳酸饮料,0.25852948631492634,518,520,697
