method,product_a,product_b,category_a,category_b,corr,nonzero_both_days,product_a_nonzero_days,product_b_nonzero_days
Spearman,12000134-百事可乐600ml,12000292-红牛,碳酸饮料,功能饮料,0.6265900363702532,695,697,697
Spearman,11002561-乡吧哥蜜汁鸡翅,12000292-红牛,包装散称,功能饮料,0.5527931093847885,677,679,697
Spearman,11002561-乡吧哥蜜汁鸡翅,12000134-百事可乐600ml,包装散称,碳酸饮料,0.5487289422465519,677,679,697
Spearman,12000292-红牛,12001131-旺仔牛奶,功能饮料,乳类饮品,0.5225987131843682,649,697,650
Spearman,11002170-三养辣火鸡味拌面,11002561-乡吧哥蜜汁鸡翅,速食类,包装散称,0.48217020051034304,485,499,679
Spearman,12000134-百事可乐600ml,12001131-旺仔牛奶,碳酸饮料,乳类饮品,0.47713977684151004,648,697,650
Spearman,11000405-百事可乐330ml,12000134-百事可乐600ml,碳酸饮料,碳酸饮料,0.4748831562487297,674,676,697
Spearman,11002561-乡吧哥蜜汁鸡翅,12001131-旺仔牛奶,包装散称,乳类饮品,0.4740169206470943,637,679,650
Spearman,11002561-乡吧哥蜜汁鸡翅,11008516-李子柒螺蛳粉335g,包装散称,速食类,0.47233568073704824,459,679,460
Spearman,11002170-三养辣火鸡味拌面,12000134-百事可乐600ml,速食类,碳酸饮料,0.46684062542470167,499,499,697
Spearman,11002170-三养辣火鸡味拌面,11008516-李子柒螺蛳粉335g,速食类,速食类,0.4667550244834768,369,499,460
Spearman,11000405-百事可乐330ml,12000292-红牛,碳酸饮料,功能饮料,0.4552144863608834,674,676,697
Spearman,11008516-李子柒螺蛳粉335g,12001131-旺仔牛奶,速食类,乳类饮品,0.42015716439952694,448,460,650
Spearman,11008516-李子柒螺蛳粉335g,12000292-红牛,速食类,功能饮料,0.41598830819490046,460,460,697
Spearman,11002170-三养辣火鸡味拌面,12000292-红牛,速食类,功能饮料,0.40659704976958955,498,499,697
Spearman,11002170-三养辣火鸡味拌面,12001131-旺仔牛奶,速食类,乳类饮品,0.4004793578278605,474,499,650
Spearman,11008516-李子柒螺蛳粉335g,12000134-百事可乐600ml,速食类,碳酸饮料,0.3798912368716112,458,460,697
Spearman,11000405-百事可乐330ml,12001131-旺仔牛奶,碳酸饮料,乳类饮品,0.36889709493733863,633,676,650
Spearman,11000405-百事可乐330ml,11002561-乡吧哥蜜汁鸡翅,碳酸饮料,包装散称,0.35341256622241374,662,676,679
Spearman,11002561-乡吧哥蜜汁鸡翅,11005780-大丰古法瓜子,包装散称,包装坚果,0.29878004688805776,652,679,670
Spearman,11000405-百事可乐330ml,11008516-李子柒螺蛳粉335g,碳酸饮料,速食类,0.2873267967679208,453,676,460
Spearman,11002561-乡吧哥蜜汁鸡翅,11002605-老板仔香脆海苔卷（原味）,包装散称,包装海苔,0.2869696318109205,516,679,520
Spearman,11000405-百事可乐330ml,11002170-三养辣火鸡味拌面,碳酸饮料,速食类,0.286096597099285,487,676,499
Spearman,11001020-韩国海牌海苔 / 韩国海飘海苔,11002605-老板仔香脆海苔卷（原味）,包装海苔,包装海苔,0.2787384134482984,504,670,520
Spearman,11001020-韩国海牌海苔 / 韩国海飘海苔,11005780-大丰古法瓜子,包装海苔,包装坚果,0.26988223597852196,642,670,670
Spearman,11002605-老板仔香脆海苔卷（原味）,12000292-红牛,包装海苔,功能饮料,0.26781150932068604,518,520,697
Spearman,11002170-三养辣火鸡味拌面,11005780-大丰古法瓜子,速食类,包装坚果,0.2658257880700655,476,499,670
Spearman,11001020-韩国海牌海苔 / 韩国海飘海苔,12000134-百事可乐600ml,包装海苔,碳酸饮料,0.2624908515283076,668,670,697
Spearman,11001020-韩国海牌海苔 / 韩国海飘海苔,11002561-乡吧哥蜜汁鸡翅,包装海苔,包装散称,0.2576391386932078,653,670,679
Spearman,11002605-老板仔香脆海苔卷（原味）,11005780-大丰古法瓜子,包装海苔,包装坚果,0.24367485976523634,502,520,670
Spearman,11001020-韩国海牌海苔 / 韩国海飘海苔,12001131-旺仔牛奶,包装海苔,乳类饮品,0.23313282766581972,624,670,650
Spearman,11001020-韩国海牌海苔 / 韩国海飘海苔,12000292-红牛,包装海苔,功能饮料,0.22606391953102767,668,670,697
Spearman,11002605-老板仔香脆海苔卷（原味）,12000134-百事可乐600ml,包装海苔,碳酸饮料,0.22354794587696217,518,520,697
Spearman,11002605-老板仔香脆海苔卷（原味）,12001131-旺仔牛奶,包装海苔,乳类饮品,0.21967490378113683,501,520,650
Spearman,11000405-百事可乐330ml,11001020-韩国海牌海苔 / 韩国海飘海苔,碳酸饮料,包装海苔,0.21445522429477412,648,676,670
Spearman,11005780-大丰古法瓜子,11008516-李子柒螺蛳粉335g,包装坚果,速食类,0.20981585420606125,442,670,460
Spearman,11001020-韩国海牌海苔 / 韩国海飘海苔,11002170-三养辣火鸡味拌面,包装海苔,速食类,0.19352800612201554,482,670,499
Spearman,11005780-大丰古法瓜子,12001131-旺仔牛奶,包装坚果,乳类饮品,0.18863082175183854,623,670,650
Spearman,11000405-百事可乐330ml,11002605-老板仔香脆海苔卷（原味）,碳酸饮料,包装海苔,0.18831551410557792,511,676,520
Spearman,11008644-洽洽早餐每日坚果（燕麦片）,12000292-红牛,包装冲饮,功能饮料,0.16418033578570831,17,17,697
Spearman,11005780-大丰古法瓜子,12000134-百事可乐600ml,包装坚果,碳酸饮料,0.1382775422740992,668,670,697
Spearman,11005780-大丰古法瓜子,12000292-红牛,包装坚果,功能饮料,0.12881553735723358,668,670,697
Spearman,11002170-三养辣火鸡味拌面,11002605-老板仔香脆海苔卷（原味）,速食类,包装海苔,0.12338928893176712,385,499,520
Spearman,11008644-洽洽早餐每日坚果（燕麦片）,12000134-百事可乐600ml,包装冲饮,碳酸饮料,0.11555047669127406,17,17,697
Spearman,11002605-老板仔香脆海苔卷（原味）,11008516-李子柒螺蛳粉335g,包装海苔,速食类,0.10924658676355899,365,520,460
Spearman,11001020-韩国海牌海苔 / 韩国海飘海苔,11008516-李子柒螺蛳粉335g,包装海苔,速食类,0.10420348503264718,442,670,460
Spearman,11002561-乡吧哥蜜汁鸡翅,11008644-洽洽早餐每日坚果（燕麦片）,包装散称,包装冲饮,0.09991507772006991,17,679,17
Spearman,11002605-老板仔香脆海苔卷（原味）,11004973-特仑苏纯牛奶,包装海苔,乳类饮品,0.0979021173467733,285,520,374
Spearman,11008644-洽洽早餐每日坚果（燕麦片）,12001131-旺仔牛奶,包装冲饮,乳类饮品,0.09748387923313356,17,17,650
Spearman,11000405-百事可乐330ml,11008644-洽洽早餐每日坚果（燕麦片）,碳酸饮料,包装冲饮,0.09251272371334564,17,676,17
Spearman,11004973-特仑苏纯牛奶,11005780-大丰古法瓜子,乳类饮品,包装坚果,0.07957979737665463,360,374,670
Spearman,11004973-特仑苏纯牛奶,12001131-旺仔牛奶,乳类饮品,乳类饮品,0.07840108380992239,351,374,650
Spearman,11004973-特仑苏纯牛奶,12000134-百事可乐600ml,乳类饮品,碳酸饮料,0.06289734695762271,374,374,697
