product_a,product_b,corr_mean,corr_std,positive_store_count,negative_store_count,strong_positive_store_count,store_count
11002561-乡吧哥蜜汁鸡翅,12000134-百事可乐600ml,0.28094381344961455,0.1630981974211619,7,0,1,7
11001020-韩国海牌海苔 / 韩国海飘海苔,11002561-乡吧哥蜜汁鸡翅,0.27365832092263764,0.1632027146952818,7,0,1,7
11000405-百事可乐330ml,12000292-红牛,0.19651399595741695,0.1747151413041175,7,0,1,7
12000134-百事可乐600ml,12000292-红牛,0.1952206985913574,0.14907690838432214,7,0,1,7
11002561-乡吧哥蜜汁鸡翅,12001131-旺仔牛奶,0.19167379827425338,0.19950165395430994,6,1,1,7
11002561-乡吧哥蜜汁鸡翅,11005780-大丰古法瓜子,0.24431467668337856,0.12656862644927042,7,0,0,7
11002170-三养辣火鸡味拌面,11002561-乡吧哥蜜汁鸡翅,0.24049462624966716,0.14190372877929067,7,0,0,7
11000405-百事可乐330ml,12001131-旺仔牛奶,0.2385759741740751,0.14367733803714036,7,0,0,7
11002561-乡吧哥蜜汁鸡翅,11002605-老板仔香脆海苔卷（原味）,0.23766134707558426,0.1164042387417696,6,0,0,6
11001020-韩国海牌海苔 / 韩国海飘海苔,12000134-百事可乐600ml,0.22181877763740718,0.13346798812695956,7,0,0,7
11002605-老板仔香脆海苔卷（原味）,11005780-大丰古法瓜子,0.21501370781304918,0.12526964278984623,6,0,0,6
11000405-百事可乐330ml,12000134-百事可乐600ml,0.2027472261031147,0.12553742161909087,6,1,0,7
11001020-韩国海牌海苔 / 韩国海飘海苔,11005780-大丰古法瓜子,0.20231734234517268,0.09410026445028277,7,0,0,7
11001020-韩国海牌海苔 / 韩国海飘海苔,11002605-老板仔香脆海苔卷（原味）,0.1879231905475364,0.11735422520886968,5,1,0,6
11002170-三养辣火鸡味拌面,11005780-大丰古法瓜子,0.18340775371349768,0.12980731912300808,7,0,0,7
12000134-百事可乐600ml,12001131-旺仔牛奶,0.18202476055822547,0.1671342394491913,7,0,0,7
11002170-三养辣火鸡味拌面,12000134-百事可乐600ml,0.17663856419525412,0.1444419638068172,7,0,0,7
11002561-乡吧哥蜜汁鸡翅,11008516-李子柒螺蛳粉335g,0.1680854191371926,0.17283840129757364,6,1,0,7
11002605-老板仔香脆海苔卷（原味）,12000134-百事可乐600ml,0.1642072425739409,0.08350146313289872,6,0,0,6
11005780-大丰古法瓜子,12000134-百事可乐600ml,0.16157537559039228,0.11653095877834033,6,1,0,7
11002170-三养辣火鸡味拌面,11008516-李子柒螺蛳粉335g,0.1608233263166424,0.09856643351194311,7,0,0,7
11002561-乡吧哥蜜汁鸡翅,12000292-红牛,0.16039463788050828,0.1278107204994455,7,0,0,7
12000292-红牛,12001131-旺仔牛奶,0.1603350196359176,0.13878209023332055,6,1,0,7
11001020-韩国海牌海苔 / 韩国海飘海苔,11002170-三养辣火鸡味拌面,0.15868983881371404,0.10311704272125204,7,0,0,7
11001020-韩国海牌海苔 / 韩国海飘海苔,12001131-旺仔牛奶,0.14541147668968826,0.1439488342531622,6,1,0,7
11000405-百事可乐330ml,11002170-三养辣火鸡味拌面,0.13897921263985244,0.1031289772858636,7,0,0,7
11000405-百事可乐330ml,11002561-乡吧哥蜜汁鸡翅,0.1343890272424255,0.09737980937857292,6,1,0,7
11002170-三养辣火鸡味拌面,12001131-旺仔牛奶,0.1322539784334825,0.14209675131013894,6,1,0,7
11005780-大丰古法瓜子,12001131-旺仔牛奶,0.12634620744197025,0.14598262923016356,6,1,0,7
