method,product_a,product_b,category_a,category_b,corr,nonzero_both_days,product_a_nonzero_days,product_b_nonzero_days
去星期效应Pearson,11002170-三养辣火鸡味拌面,11008516-李子柒螺蛳粉335g,速食类,速食类,0.5267047186976692,369,499,460
去星期效应Pearson,11002170-三养辣火鸡味拌面,11002561-乡吧哥蜜汁鸡翅,速食类,包装散称,0.5155327957273662,485,499,679
去星期效应Pearson,11002561-乡吧哥蜜汁鸡翅,11002605-老板仔香脆海苔卷（原味）,包装散称,包装海苔,0.4813679360566598,516,679,520
去星期效应Pearson,11002561-乡吧哥蜜汁鸡翅,12000134-百事可乐600ml,包装散称,碳酸饮料,0.4749444980925675,677,679,697
去星期效应Pearson,11002561-乡吧哥蜜汁鸡翅,11005780-大丰古法瓜子,包装散称,包装坚果,0.4703385037183652,652,679,670
去星期效应Pearson,11001020-韩国海牌海苔 / 韩国海飘海苔,11002605-老板仔香脆海苔卷（原味）,包装海苔,包装海苔,0.4591066783856494,504,670,520
去星期效应Pearson,11002561-乡吧哥蜜汁鸡翅,11008516-李子柒螺蛳粉335g,包装散称,速食类,0.44349974032907313,459,679,460
去星期效应Pearson,11001020-韩国海牌海苔 / 韩国海飘海苔,11002561-乡吧哥蜜汁鸡翅,包装海苔,包装散称,0.4254159254200133,653,670,679
去星期效应Pearson,11001020-韩国海牌海苔 / 韩国海飘海苔,11005780-大丰古法瓜子,包装海苔,包装坚果,0.41423543420328857,642,670,670
去星期效应Pearson,11002605-老板仔香脆海苔卷（原味）,11005780-大丰古法瓜子,包装海苔,包装坚果,0.40830518169976443,502,520,670
去星期效应Pearson,11002170-三养辣火鸡味拌面,12000134-百事可乐600ml,速食类,碳酸饮料,0.40504745987100427,499,499,697
去星期效应Pearson,11002561-乡吧哥蜜汁鸡翅,12001131-旺仔牛奶,包装散称,乳类饮品,0.36428419186922445,637,679,650
去星期效应Pearson,12000134-百事可乐600ml,12001131-旺仔牛奶,碳酸饮料,乳类饮品,0.351101634207326,648,697,650
去星期效应Pearson,11002170-三养辣火鸡味拌面,11005780-大丰古法瓜子,速食类,包装坚果,0.35083521717053473,476,499,670
去星期效应Pearson,11008516-李子柒螺蛳粉335g,12000134-百事可乐600ml,速食类,碳酸饮料,0.34295541828255055,458,460,697
去星期效应Pearson,11000405-百事可乐330ml,12000134-百事可乐600ml,碳酸饮料,碳酸饮料,0.3390423636982047,674,676,697
去星期效应Pearson,11000405-百事可乐330ml,12001131-旺仔牛奶,碳酸饮料,乳类饮品,0.3121007431770975,633,676,650
去星期效应Pearson,11005780-大丰古法瓜子,11008516-李子柒螺蛳粉335g,包装坚果,速食类,0.3063336645387604,442,670,460
去星期效应Pearson,11002170-三养辣火鸡味拌面,12001131-旺仔牛奶,速食类,乳类饮品,0.28390813836351064,474,499,650
去星期效应Pearson,11000405-百事可乐330ml,11002561-乡吧哥蜜汁鸡翅,碳酸饮料,包装散称,0.2514331523200173,662,676,679
去星期效应Pearson,11001020-韩国海牌海苔 / 韩国海飘海苔,12000134-百事可乐600ml,包装海苔,碳酸饮料,0.24995210456935898,668,670,697
去星期效应Pearson,11002605-老板仔香脆海苔卷（原味）,12000134-百事可乐600ml,包装海苔,碳酸饮料,0.24582852489690976,518,520,697
去星期效应Pearson,11008516-李子柒螺蛳粉335g,12001131-旺仔牛奶,速食类,乳类饮品,0.2448691398862388,448,460,650
去星期效应Pearson,11005780-大丰古法瓜子,12001131-旺仔牛奶,包装坚果,乳类饮品,0.22984961963144399,623,670,650
去星期效应Pearson,11002605-老板仔香脆海苔卷（原味）,12001131-旺仔牛奶,包装海苔,乳类饮品,0.22020956987541557,501,520,650
去星期效应Pearson,11001020-韩国海牌海苔 / 韩国海飘海苔,11002170-三养辣火鸡味拌面,包装海苔,速食类,0.21628208069910285,482,670,499
去星期效应Pearson,11001020-韩国海牌海苔 / 韩国海飘海苔,12001131-旺仔牛奶,包装海苔,乳类饮品,0.21491364054147874,624,670,650
去星期效应Pearson,11000405-百事可乐330ml,11008516-李子柒螺蛳粉335g,碳酸饮料,速食类,0.21175425149024016,453,676,460
去星期效应Pearson,11000405-百事可乐330ml,11001020-韩国海牌海苔 / 韩国海飘海苔,碳酸饮料,包装海苔,0.20548788193330425,648,676,670
去星期效应Pearson,11000405-百事可乐330ml,11002170-三养辣火鸡味拌面,碳酸饮料,速食类,0.19546387075576455,487,676,499
去星期效应Pearson,11001020-韩国海牌海苔 / 韩国海飘海苔,11008516-李子柒螺蛳粉335g,包装海苔,速食类,0.19229003010351253,442,670,460
去星期效应Pearson,11005780-大丰古法瓜子,12000134-百事可乐600ml,包装坚果,碳酸饮料,0.18352384524223977,668,670,697
去星期效应Pearson,11000405-百事可乐330ml,11002605-老板仔香脆海苔卷（原味）,碳酸饮料,包装海苔,0.17828877603045273,511,676,520
去星期效应Pearson,12000134-百事可乐600ml,12000292-红牛,碳酸饮料,功能饮料,0.17102612252249796,695,697,697
去星期效应Pearson,11002561-乡吧哥蜜汁鸡翅,12000292-红牛,包装散称,功能饮料,0.1394058741554148,677,679,697
去星期效应Pearson,12000292-红牛,12001131-旺仔牛奶,功能饮料,乳类饮品,0.13358079344874765,649,697,650
去星期效应Pearson,11002605-老板仔香脆海苔卷（原味）,11008516-李子柒螺蛳粉335g,包装海苔,速食类,0.1315647687101827,365,520,460
去星期效应Pearson,11002170-三养辣火鸡味拌面,11002605-老板仔香脆海苔卷（原味）,速食类,包装海苔,0.13138553879485756,385,499,520
去星期效应Pearson,11000405-百事可乐330ml,12000292-红牛,碳酸饮料,功能饮料,0.11975813131769736,674,676,697
去星期效应Pearson,11002170-三养辣火鸡味拌面,12000292-红牛,速食类,功能饮料,0.1145874808600109,498,499,697
去星期效应Pearson,11002605-老板仔香脆海苔卷（原味）,12000292-红牛,包装海苔,功能饮料,0.10784635531349625,518,520,697
去星期效应Pearson,11002605-老板仔香脆海苔卷（原味）,11004973-特仑苏纯牛奶,包装海苔,乳类饮品,0.1004068024518399,285,520,374
去星期效应Pearson,11005780-大丰古法瓜子,12000292-红牛,包装坚果,功能饮料,0.0734231067818969,668,670,697
去星期效应Pearson,11000405-百事可乐330ml,11005780-大丰古法瓜子,碳酸饮料,包装坚果,0.07265175841207483,648,676,670
去星期效应Pearson,11008516-李子柒螺蛳粉335g,12000292-红牛,速食类,功能饮料,0.05626801367044489,460,460,697
去星期效应Pearson,11004973-特仑苏纯牛奶,12001131-旺仔牛奶,乳类饮品,乳类饮品,0.05385404741795573,351,374,650
去星期效应Pearson,11008644-洽洽早餐每日坚果（燕麦片）,12000134-百事可乐600ml,包装冲饮,碳酸饮料,0.04997705436244241,17,17,697
去星期效应Pearson,11004973-特仑苏纯牛奶,12000134-百事可乐600ml,乳类饮品,碳酸饮料,0.046472717589000984,374,374,697
去星期效应Pearson,11001020-韩国海牌海苔 / 韩国海飘海苔,12000292-红牛,包装海苔,功能饮料,0.04284187877163404,668,670,697
去星期效应Pearson,11008644-洽洽早餐每日坚果（燕麦片）,12001131-旺仔牛奶,包装冲饮,乳类饮品,0.040038869697151515,17,17,650
去星期效应Pearson,11001020-韩国海牌海苔 / 韩国海飘海苔,11004973-特仑苏纯牛奶,包装海苔,乳类饮品,0.04002922357459906,357,670,374
去星期效应Pearson,11004973-特仑苏纯牛奶,11005780-大丰古法瓜子,乳类饮品,包装坚果,0.034679715860056,360,374,670
去星期效应Pearson,11002561-乡吧哥蜜汁鸡翅,11004973-特仑苏纯牛奶,包装散称,乳类饮品,0.03465347302115394,363,679,374
去星期效应Pearson,11002561-乡吧哥蜜汁鸡翅,11008644-洽洽早餐每日坚果（燕麦片）,包装散称,包装冲饮,0.03352511931517094,17,679,17
去星期效应Pearson,11002170-三养辣火鸡味拌面,11004973-特仑苏纯牛奶,速食类,乳类饮品,0.029770331368696973,271,499,374
去星期效应Pearson,11002170-三养辣火鸡味拌面,11008644-洽洽早餐每日坚果（燕麦片）,速食类,包装冲饮,0.02758203814279729,14,499,17
去星期效应Pearson,11000405-百事可乐330ml,11004973-特仑苏纯牛奶,碳酸饮料,乳类饮品,0.015345763019408543,358,676,374
去星期效应Pearson,11008644-洽洽早餐每日坚果（燕麦片）,12000292-红牛,包装冲饮,功能饮料,0.014914499544395391,17,17,697
去星期效应Pearson,11008516-李子柒螺蛳粉335g,11008644-洽洽早餐每日坚果（燕麦片）,速食类,包装冲饮,0.002506756249373909,16,460,17
去星期效应Pearson,11000405-百事可乐330ml,11008644-洽洽早餐每日坚果（燕麦片）,碳酸饮料,包装冲饮,-0.003116389614249734,17,676,17
去星期效应Pearson,11004973-特仑苏纯牛奶,12000292-红牛,乳类饮品,功能饮料,-0.019269272857021808,373,374,697
去星期效应Pearson,11004973-特仑苏纯牛奶,11008644-洽洽早餐每日坚果（燕麦片）,乳类饮品,包装冲饮,-0.01951235617581515,9,374,17
去星期效应Pearson,11001020-韩国海牌海苔 / 韩国海飘海苔,11008644-洽洽早餐每日坚果（燕麦片）,包装海苔,包装冲饮,-0.020739076214004268,17,670,17
去星期效应Pearson,11004973-特仑苏纯牛奶,11008516-李子柒螺蛳粉335g,乳类饮品,速食类,-0.028918353161571944,237,374,460
去星期效应Pearson,11005780-大丰古法瓜子,11008644-洽洽早餐每日坚果（燕麦片）,包装坚果,包装冲饮,-0.04872435337768978,16,670,17
去星期效应Pearson,11002605-老板仔香脆海苔卷（原味）,11008644-洽洽早餐每日坚果（燕麦片）,包装海苔,包装冲饮,-0.0600961316411107,11,520,17
