factor,level,n_days,mean_daily_total_sales,median_daily_total_sales,std_daily_total_sales
天气合并类别,小雨/阵雨,281,137.5444839857651,121.0,178.03773370061379
天气合并类别,中大雨及以上,39,107.12820512820512,96.0,60.917191198673656
天气合并类别,无降水,406,124.28325123152709,113.0,78.55491789947665
天气合并类别,雨夹雪,3,356.6666666666667,444.0,172.46835458522045
是否节假日,0.0,669,128.45291479820628,115.0,130.71230331437334
是否节假日,1.0,60,140.36666666666667,133.0,77.84033346616837
是否周末,0.0,521,124.65834932821497,112.0,139.9109138687105
是否周末,1.0,208,141.39423076923077,127.0,86.75262384696478
是否活动日,0.0,705,124.11914893617022,113.0,123.91977559439644
是否活动日,1.0,24,285.5416666666667,263.0,125.64061208780028
平均温度分箱,T1,189,137.26984126984127,114.0,92.3435778646626
平均温度分箱,T2,178,107.87078651685393,106.0,62.81935486090741
平均温度分箱,T3,184,138.03804347826087,112.5,213.82274889190836
平均温度分箱,T4,178,133.7808988764045,128.0,75.11875551216174
