model,target_scale,term,factor,variable,coef,std_err,p_value,direction,comparable_abs_effect
原方案详细天气FE回归,原始正向销量,"C(weather, Treatment(reference='晴'))[T.雨夹雪]",weather_detail,雨夹雪,2.3491221641992297,0.7192085457263035,0.0010897810867938602,正关联,2.3491221641992297
原方案详细天气FE回归,原始正向销量,is_activity_day,is_activity_day,is_activity_day,1.9943027659950971,0.3328664428782834,2.0817004119770216e-09,正关联,1.9943027659950971
原方案详细天气FE回归,原始正向销量,"C(weather, Treatment(reference='晴'))[T.暴雨]",weather_detail,暴雨,-1.9749471114634432,0.8737514972332816,0.02380216934157058,负关联,1.9749471114634432
原方案详细天气FE回归,原始正向销量,min_temperature,min_temperature,min_temperature,0.08474596449739442,0.032023737427322216,0.008136598031604953,正关联,1.3559354319583108
原方案详细天气FE回归,原始正向销量,"C(weather, Treatment(reference='晴'))[T.中到大雨]",weather_detail,中到大雨,-0.9714712064094719,0.3884362617596725,0.012385027639970882,负关联,0.9714712064094719
原方案详细天气FE回归,原始正向销量,max_temperature,max_temperature,max_temperature,-0.060975759273097854,0.030835070241680005,0.04798730903994434,负关联,0.9146363890964678
原方案详细天气FE回归,原始正向销量,"C(weather, Treatment(reference='晴'))[T.中雨]",weather_detail,中雨,-0.7864387758774035,0.24537031080237837,0.0013501098948406139,负关联,0.7864387758774035
原方案详细天气FE回归,原始正向销量,"C(weather, Treatment(reference='晴'))[T.大雨]",weather_detail,大雨,-0.7651024592701208,0.5315322797118397,0.15002928902838514,负关联,0.7651024592701208
原方案详细天气FE回归,原始正向销量,"C(weather, Treatment(reference='晴'))[T.阵雨]",weather_detail,阵雨,-0.513498793978421,0.1746215208985907,0.003275363765477279,负关联,0.513498793978421
原方案详细天气FE回归,原始正向销量,"C(weather, Treatment(reference='晴'))[T.阴]",weather_detail,阴,-0.3971208476258991,0.1467762466821998,0.006817687249006707,负关联,0.3971208476258991
原方案详细天气FE回归,原始正向销量,"C(weather, Treatment(reference='晴'))[T.雷阵雨]",weather_detail,雷阵雨,-0.36528443776779373,0.18172672811503793,0.044423202220546035,负关联,0.36528443776779373
原方案详细天气FE回归,原始正向销量,"C(weather, Treatment(reference='晴'))[T.多云]",weather_detail,多云,-0.29297675012400115,0.12143809820324804,0.015840911334269184,负关联,0.29297675012400115
