feature,importance_mean_mae_increase,importance_std
rolling_28_prev,1.4203639013479896,0.04099228907777185
lag_7,0.08694374018485188,0.00611117475963492
is_activity_day,0.07382779874264506,0.011163863639024243
product_id_str,0.026400974420876383,0.0034398918890421242
category_str,0.01453737628930038,0.003936587017166305
is_weekend,0.006546463327965296,0.003985091006607996
store_id_str,0.00555762021313036,0.004842600124150917
weekday_str,0.0033254448936793357,0.0017267590159726087
wind_power,0.002778240899478812,0.026726669064834445
avg_temperature,0.0015829348953540767,0.0042654294711314536
temperature_range,0.0011424312627152655,0.003960682211936468
is_holiday,1.6653345369377348e-16,2.1499376424746292e-16
month_str,1.1102230246251565e-16,1.9229626863835638e-16
weather_group,-0.0013506721126504695,0.001542577292997023
temp_bin,-0.002220671483332687,0.002016585435249382
