date,daily_total_sales,weather,is_holiday,is_weekend,is_activity_day,weekday,is_daily_total_outlier
2021-09-14,2831,小雨,0.0,0,0.0,2,1
2021-08-08,529,多云,0.0,1,1.0,7,1
2021-12-08,476,阴,0.0,0,1.0,3,1
2022-01-30,468,雨夹雪,0.0,1,0.0,7,1
2022-01-23,447,小到中雨,0.0,1,0.0,7,1
2022-01-29,444,雨夹雪,0.0,1,0.0,6,1
2022-01-08,428,阴,0.0,1,1.0,6,1
2021-06-08,428,多云,0.0,0,1.0,2,1
2021-07-06,428,晴,0.0,0,0.0,2,1
2021-07-08,419,小雨,0.0,0,1.0,4,1
2022-01-21,416,阴,0.0,0,0.0,5,1
2021-05-08,402,阴,0.0,1,1.0,6,1
2022-03-08,384,晴,0.0,0,1.0,2,1
2022-01-25,374,阴,0.0,0,0.0,2,1
2022-01-28,371,小雨,0.0,0,0.0,5,1
2021-02-08,365,小雨,0.0,0,1.0,1,1
2022-01-22,353,小到中雨,0.0,1,0.0,6,1
2022-01-27,349,小雨,0.0,0,0.0,4,1
2022-01-24,347,小雨,0.0,0,0.0,1,1
2021-06-06,344,晴,0.0,1,0.0,7,1
