level,model,model_label,family,MAE,RMSE,WAPE,WAPE_pct,actual_sum,prediction_sum,n,complexity,interpretability,paper_writability,uses_future_weather_scenario,notes
category,extra_trees_context,ExtraTrees(上下文特征),树模型,7.457480379061384,11.74970888225513,0.33006828786993675,33.00682878699367,5061.0,5301.446566516197,224,高,中,中,True,更随机的树集成，检验树模型稳定性。
category,ensemble_q1_ridge_context_50,指数平滑与Ridge上下文等权集成,集成模型,7.781977840603316,13.853260663088923,0.34443055449419935,34.44305544941994,5061.0,5197.257649555864,224,中,较高,较高,True,简单平均，避免在验证集上调权。
category,ridge_basic,Ridge回归(原Q4特征),可解释回归,7.788759007902063,13.858142604446213,0.344730689146426,34.4730689146426,5061.0,5018.373403211319,224,中,高,高,True,复核原 Q4 Ridge 的严格递推表现。
category,linear_basic,多元线性回归(基础特征),可解释回归,7.79357770013817,13.863935499253396,0.34494396459809323,34.49439645980932,5061.0,5019.75838099526,224,中,高,高,True,滞后、滚动、日历、门店、商品、类别和外部变量。
category,exp_smoothing,问题一门店-商品指数平滑,强baseline,8.126639157522604,14.552257272596073,0.35968527391524663,35.96852739152466,5061.0,4732.861663534108,224,低,高,高,False,问题一门店-商品层级最优简单模型。
category,moving_average_7,近7日移动平均,强baseline,8.245495139381221,14.547199379476858,0.3649458429601647,36.49458429601647,5061.0,4900.266964809366,224,低,高,高,False,只用最近 7 天历史销量。
category,ridge_no_weather_activity,Ridge回归(不含天气活动),可解释回归,8.271813396308527,14.568158114874079,0.36611068973979655,36.611068973979656,5061.0,5146.437130413569,224,中,高,高,False,不使用未来难以准确获得的天气和活动日。
category,ridge_by_category_context,按类别分别建Ridge,分组模型,8.415580605121113,14.125772066974779,0.37247383037880444,37.24738303788045,5061.0,5691.24935497875,224,中高,中,中,True,每个类别单独拟合，低销量类别样本不足风险更高。
category,moving_average_14,近14日移动平均,强baseline,8.55089867866421,15.175504116652412,0.37846301205706046,37.84630120570605,5061.0,4788.147203047154,224,低,高,高,False,只用最近 14 天历史销量，比 7 日均值更平滑。
category,random_forest_context,随机森林(上下文特征),树模型,8.626434574091583,14.324904747995298,0.381806232878189,38.1806232878189,5061.0,5669.973304519895,224,高,中,中,True,捕捉非线性和交互，论文解释比回归更困难。
category,hybrid_scale_q1_ridge_context,低销量指数平滑/高销量Ridge混合,分层集成,8.639904784481464,14.787984115449033,0.3824024247626651,38.24024247626651,5061.0,5602.1368917508025,224,中,较高,中,True,阈值由每个窗口训练期门店-商品平均销量中位数确定。
category,ridge_context,Ridge回归(类别/门店上下文特征),可解释回归,8.68622794123275,14.72699073871645,0.3844526889618921,38.44526889618921,5061.0,5661.65363557762,224,中,较高,较高,True,新增门店-类别、门店总量、商品全店总量的历史上下文特征。
