rank,model,model_label,family,MAE,RMSE,WAPE,WAPE_pct,actual_sum,prediction_sum,n,complexity,interpretability,paper_writability,uses_future_weather_scenario,notes
1,exp_smoothing,问题一门店-商品指数平滑,强baseline,1.8157322272490461,3.772464167389725,0.7634614067547856,76.34614067547855,5061.0,4732.861663534108,2128,低,高,高,False,问题一门店-商品层级最优简单模型。
2,ensemble_q1_ridge_context_50,指数平滑与Ridge上下文等权集成,集成模型,1.8194956667131914,3.6806264506918174,0.7650438211352838,76.50438211352838,5061.0,5197.257649555864,2128,中,较高,较高,True,简单平均，避免在验证集上调权。
3,ridge_basic,Ridge回归(原Q4特征),可解释回归,1.8237641830607352,3.7024809356477086,0.7668386053256756,76.68386053256756,5061.0,5018.373403211319,2128,中,高,高,True,复核原 Q4 Ridge 的严格递推表现。
4,linear_basic,多元线性回归(基础特征),可解释回归,1.823783399786632,3.7026912497587614,0.7668466853874636,76.68466853874637,5061.0,5019.75838099526,2128,中,高,高,True,滞后、滚动、日历、门店、商品、类别和外部变量。
5,extra_trees_context,ExtraTrees(上下文特征),树模型,1.8309650815784957,3.6355237259254514,0.7698663690177907,76.98663690177906,5061.0,5301.446566516199,2128,高,中,中,True,更随机的树集成，检验树模型稳定性。
6,moving_average_14,近14日移动平均,强baseline,1.8469090790815068,3.819260102850121,0.7765703458378673,77.65703458378674,5061.0,4788.147203047154,2128,低,高,高,False,只用最近 14 天历史销量，比 7 日均值更平滑。
7,moving_average_7,近7日移动平均,强baseline,1.8652681056621856,3.7969509585657097,0.7842897705688858,78.42897705688858,5061.0,4900.266964809366,2128,低,高,高,False,只用最近 7 天历史销量。
8,ridge_no_weather_activity,Ridge回归(不含天气活动),可解释回归,1.8658405622672163,3.739863814838887,0.7845304715480411,78.45304715480411,5061.0,5146.437130413569,2128,中,高,高,False,不使用未来难以准确获得的天气和活动日。
9,hybrid_scale_q1_ridge_context,低销量指数平滑/高销量Ridge混合,分层集成,1.880478514139328,3.7436448460683436,0.7906852950184726,79.06852950184727,5061.0,5602.136891750801,2128,中,较高,中,True,阈值由每个窗口训练期门店-商品平均销量中位数确定。
10,ridge_by_category_context,按类别分别建Ridge,分组模型,1.9001714767856779,3.828709881932214,0.798965600197574,79.8965600197574,5061.0,5691.24935497875,2128,中高,中,中,True,每个类别单独拟合，低销量类别样本不足风险更高。
11,ridge_context,Ridge回归(类别/门店上下文特征),可解释回归,1.906710076125362,3.7396032739168064,0.8017148867802352,80.17148867802352,5061.0,5661.653635577621,2128,中,较高,较高,True,新增门店-类别、门店总量、商品全店总量的历史上下文特征。
12,lasso_context,Lasso回归(类别/门店上下文特征),可解释回归,1.9099269936135421,3.7392308151455778,0.8030675049218766,80.30675049218766,5061.0,5682.989464371498,2128,中,较高,中,True,带变量筛选倾向，但系数稳定性需谨慎。
13,random_forest_context,随机森林(上下文特征),树模型,1.9354395907271795,4.104371994664103,0.813794793334803,81.3794793334803,5061.0,5669.973304519895,2128,高,中,中,True,捕捉非线性和交互，论文解释比回归更困难。
14,ridge_by_store_context,按门店分别建Ridge,分组模型,1.9911170398127267,3.751395397096976,0.8372055049834978,83.72055049834978,5061.0,5816.460180451408,2128,中高,中,中,True,每家门店单独拟合，样本减少，可能不稳定。
15,same_weekday_mean_8,同星期均值(近8周),强baseline,2.0321311090225564,4.186287313182772,0.8544507014424026,85.44507014424026,5061.0,5540.625,2128,低,高,高,False,只用历史相同星期几销量。
