store_id,store_name,product_id,category,product_name,total_sales,avg_daily_sales,active_days,total_amount,negative_adjustment_qty
178,C地五乡镇店,12000292,功能饮料,红牛,8727.0,11.954794520547946,393,43448.84,26
18,A地天九街店,12000292,功能饮料,红牛,6531.0,8.946575342465753,301,31507.64,5
69,B地江山店店,12000292,功能饮料,红牛,5159.0,7.067123287671233,572,26666.47,0
47,C地桑田路店,11002561,包装散称,乡吧哥蜜汁鸡翅,4424.0,6.06027397260274,531,20435.81,4
14,C地彩虹南路店,12000292,功能饮料,红牛,4313.0,5.9082191780821915,700,23997.63,6
178,C地五乡镇店,11002561,包装散称,乡吧哥蜜汁鸡翅,4230.0,5.794520547945205,328,20000.81,11
69,B地江山店店,11002561,包装散称,乡吧哥蜜汁鸡翅,3887.0,5.324657534246575,401,18237.53,1
69,B地江山店店,11000405,碳酸饮料,百事可乐330ml,3524.0,4.8273972602739725,538,6905.53,0
69,B地江山店店,12000134,碳酸饮料,百事可乐600ml,3325.0,4.554794520547945,549,8177.31,0
47,C地桑田路店,12000292,功能饮料,红牛,3278.0,4.49041095890411,516,16661.36,0
178,C地五乡镇店,12000134,碳酸饮料,百事可乐600ml,3009.0,4.1219178082191785,358,8042.09,8
23,C地姜山店,12000292,功能饮料,红牛,2953.0,4.045205479452055,562,15280.18,3
14,C地彩虹南路店,11002561,包装散称,乡吧哥蜜汁鸡翅,2406.0,3.2958904109589042,418,11432.710000000001,1
47,C地桑田路店,11000405,碳酸饮料,百事可乐330ml,1956.0,2.6794520547945204,391,4069.32,2
23,C地姜山店,11002561,包装散称,乡吧哥蜜汁鸡翅,1955.0,2.6780821917808217,424,8809.43,2
14,C地彩虹南路店,12000134,碳酸饮料,百事可乐600ml,1826.0,2.5013698630136987,585,5093.05,2
47,C地桑田路店,12000134,碳酸饮料,百事可乐600ml,1654.0,2.265753424657534,536,4428.349999999999,0
178,C地五乡镇店,12001131,乳类饮品,旺仔牛奶,1645.0,2.2534246575342465,315,7380.35,1
69,B地江山店店,12001131,乳类饮品,旺仔牛奶,1626.0,2.2273972602739724,400,8479.24,0
18,A地天九街店,11002561,包装散称,乡吧哥蜜汁鸡翅,1543.0,2.1136986301369864,212,7512.95,0
69,B地江山店店,11001020,包装海苔,韩国海牌海苔 / 韩国海飘海苔,1510.0,1.0342465753424657,352,14520.04,1
47,C地桑田路店,11001020,包装海苔,韩国海牌海苔 / 韩国海飘海苔,1346.0,0.9219178082191781,401,12889.45,0
14,C地彩虹南路店,11000405,碳酸饮料,百事可乐330ml,1244.0,1.704109589041096,419,2723.67,1
18,A地天九街店,12000134,碳酸饮料,百事可乐600ml,1208.0,1.6547945205479453,293,3581.44,0
23,C地姜山店,12000134,碳酸饮料,百事可乐600ml,1159.0,1.5876712328767124,513,3209.85,0
69,B地江山店店,11005780,包装坚果,大丰古法瓜子,1128.0,1.5452054794520549,450,10886.03,0
18,A地天九街店,12001131,乳类饮品,旺仔牛奶,1079.0,1.478082191780822,221,4695.03,0
18,A地天九街店,11000405,碳酸饮料,百事可乐330ml,1012.0,1.3863013698630138,192,2475.18,0
47,C地桑田路店,12001131,乳类饮品,旺仔牛奶,941.0,1.289041095890411,340,4620.82,0
23,C地姜山店,11005780,包装坚果,大丰古法瓜子,871.0,1.1931506849315068,417,8458.23,0
23,C地姜山店,12001131,乳类饮品,旺仔牛奶,842.0,1.1534246575342466,297,4015.27,0
69,B地江山店店,11008516,速食类,李子柒螺蛳粉335g,784.0,1.073972602739726,309,10612.86,0
23,C地姜山店,11002605,包装海苔,老板仔香脆海苔卷（原味）,766.0,1.0493150684931507,338,10464.550000000001,0
23,C地姜山店,11001020,包装海苔,韩国海牌海苔 / 韩国海飘海苔,730.0,0.5,376,7149.31,1
14,C地彩虹南路店,11005780,包装坚果,大丰古法瓜子,727.0,0.9958904109589041,372,7043.54,4
14,C地彩虹南路店,11001020,包装海苔,韩国海牌海苔 / 韩国海飘海苔,695.0,0.476027397260274,310,6712.29,2
178,C地五乡镇店,11000405,碳酸饮料,百事可乐330ml,690.0,0.9452054794520548,151,1555.45,0
14,C地彩虹南路店,12001131,乳类饮品,旺仔牛奶,682.0,0.9342465753424658,256,3646.71,0
178,C地五乡镇店,11002170,速食类,三养辣火鸡味拌面,573.0,0.7849315068493151,261,15918.789999999999,0
178,C地五乡镇店,11008516,速食类,李子柒螺蛳粉335g,544.0,0.7452054794520548,204,7401.530000000001,1
23,C地姜山店,11008516,速食类,李子柒螺蛳粉335g,538.0,0.736986301369863,301,7339.21,1
23,C地姜山店,11000405,碳酸饮料,百事可乐330ml,525.0,0.7191780821917808,264,1137.1200000000001,0
69,B地江山店店,11002605,包装海苔,老板仔香脆海苔卷（原味）,525.0,0.7191780821917808,212,7104.16,0
14,C地彩虹南路店,11004973,乳类饮品,特仑苏纯牛奶,502.0,0.6876712328767123,307,28516.84,4
178,C地五乡镇店,11005780,包装坚果,大丰古法瓜子,492.0,0.673972602739726,181,4773.14,1
18,A地天九街店,11001020,包装海苔,韩国海牌海苔,484.0,0.663013698630137,189,3736.22,1
178,C地五乡镇店,11001020,包装海苔,韩国海牌海苔 / 韩国海飘海苔,458.0,0.3136986301369863,184,4454.38,1
47,C地桑田路店,11005780,包装坚果,大丰古法瓜子,422.0,0.5780821917808219,228,4020.3500000000004,0
47,C地桑田路店,11002605,包装海苔,老板仔香脆海苔卷（原味）,418.0,0.5726027397260274,228,5563.63,0
18,A地天九街店,11005780,包装坚果,大丰古法瓜子,386.0,0.5287671232876713,193,4158.26,0
23,C地姜山店,11002170,速食类,三养辣火鸡味拌面,332.0,0.4547945205479452,239,9200.89,0
