store_id,store_name,product_a,product_b,corr,nonzero_both_days,product_a_nonzero_days,product_b_nonzero_days,n_days
14,C地彩虹南路店,11002561-乡吧哥蜜汁鸡翅,11002605-老板仔香脆海苔卷...,0.26100792282113,127,418,180,730
14,C地彩虹南路店,11002605-老板仔香脆海苔卷...,11005780-大丰古法瓜子,0.2607105298611388,101,180,372,730
14,C地彩虹南路店,11002561-乡吧哥蜜汁鸡翅,11005780-大丰古法瓜子,0.24001032960935187,245,418,372,730
14,C地彩虹南路店,11001020-韩国海牌海苔 /...,11002605-老板仔香脆海苔卷...,0.2338062451794919,78,310,180,730
14,C地彩虹南路店,11001020-韩国海牌海苔 /...,11002561-乡吧哥蜜汁鸡翅,0.22998727693878132,162,310,418,730
14,C地彩虹南路店,11001020-韩国海牌海苔 /...,11005780-大丰古法瓜子,0.22808286981288914,175,310,372,730
14,C地彩虹南路店,11001020-韩国海牌海苔 /...,12000134-百事可乐600m...,0.17130073989461675,266,310,585,730
14,C地彩虹南路店,11002170-三养辣火鸡味拌面,11002561-乡吧哥蜜汁鸡翅,0.1677471486303128,64,102,418,730
14,C地彩虹南路店,11000405-百事可乐330m...,12000134-百事可乐600m...,0.16243009097156255,350,418,585,730
14,C地彩虹南路店,12000134-百事可乐600m...,12000292-红牛,0.1569775913979367,567,585,700,730
14,C地彩虹南路店,11002561-乡吧哥蜜汁鸡翅,12000134-百事可乐600m...,0.14048712989708428,335,418,585,730
14,C地彩虹南路店,11005780-大丰古法瓜子,12000134-百事可乐600m...,0.1395756805257587,309,372,585,730
14,C地彩虹南路店,11001020-韩国海牌海苔 /...,11002170-三养辣火鸡味拌面,0.13367601491532383,55,310,102,730
14,C地彩虹南路店,11002170-三养辣火鸡味拌面,11005780-大丰古法瓜子,0.10864941022086566,56,102,372,730
14,C地彩虹南路店,11004973-特仑苏纯牛奶,11008516-李子柒螺蛳粉33...,0.09508937442648067,63,306,119,730
14,C地彩虹南路店,11004973-特仑苏纯牛奶,12001131-旺仔牛奶,0.08706974836765594,108,306,256,730
14,C地彩虹南路店,11002605-老板仔香脆海苔卷...,11008516-李子柒螺蛳粉33...,0.07580191940527707,32,180,119,730
14,C地彩虹南路店,11008644-洽洽早餐每日坚果...,12001131-旺仔牛奶,0.07396714317011797,5,12,256,730
14,C地彩虹南路店,11002561-乡吧哥蜜汁鸡翅,12000292-红牛,0.07251463619578218,405,418,700,730
14,C地彩虹南路店,12000134-百事可乐600m...,12001131-旺仔牛奶,0.06000877774858895,201,585,256,730
14,C地彩虹南路店,11002605-老板仔香脆海苔卷...,12000134-百事可乐600m...,0.05897008669177107,154,180,585,730
14,C地彩虹南路店,11002170-三养辣火鸡味拌面,11002605-老板仔香脆海苔卷...,0.05497010432219809,23,102,180,730
14,C地彩虹南路店,11002170-三养辣火鸡味拌面,12000134-百事可乐600m...,0.04300741785602776,80,102,585,730
