date,11000405-百事可乐330m...,11001020-韩国海牌海苔 /...,11002170-三养辣火鸡味拌面,11002561-乡吧哥蜜汁鸡翅,11002605-老板仔香脆海苔卷...,11004973-特仑苏纯牛奶,11005780-大丰古法瓜子,11008516-李子柒螺蛳粉33...,11008644-洽洽早餐每日坚果...,12000134-百事可乐600m...,12000292-红牛,12001131-旺仔牛奶
2020-04-01,1,2,1,1,3,1,7,0,0,5,9,2
2020-04-02,3,5,1,8,1,1,6,0,0,2,0,0
2020-04-03,8,2,4,0,0,0,6,0,0,4,5,1
2020-04-04,3,0,2,0,1,1,4,0,0,4,4,2
2020-04-05,1,4,1,6,1,0,6,0,0,9,5,2
2020-04-06,7,1,1,4,0,0,5,0,0,3,10,4
2020-04-07,5,1,0,0,0,1,4,0,0,3,3,0
2020-04-08,3,8,2,26,6,2,17,0,0,15,10,1
2020-04-09,0,0,4,0,0,1,7,0,0,15,11,0
2020-04-10,3,2,1,0,0,2,1,0,0,4,1,0
2020-04-11,0,2,1,0,0,0,2,0,0,7,2,1
2020-04-12,4,3,1,0,0,1,0,0,0,4,17,15
2020-04-13,4,3,2,0,0,0,5,0,0,2,13,0
2020-04-14,3,2,1,0,0,1,1,0,0,12,6,2
2020-04-15,1,0,1,0,0,1,2,0,0,3,6,1
2020-04-16,0,2,1,0,0,0,5,0,0,3,4,2
2020-04-17,1,3,0,0,0,0,0,0,0,3,21,2
2020-04-18,12,5,2,3,0,0,2,0,0,5,18,25
2020-04-19,5,5,0,1,0,1,1,0,0,3,3,1
2020-04-20,0,3,0,0,0,1,4,0,0,8,9,0
2020-04-21,1,3,2,0,0,0,1,0,0,9,2,0
2020-04-22,7,3,0,0,0,1,5,0,0,2,3,2
2020-04-23,0,5,0,1,0,0,6,0,0,2,5,0
2020-04-24,3,0,0,2,0,0,5,0,0,7,10,0
2020-04-25,3,0,0,2,0,1,1,0,0,4,8,2
2020-04-26,2,2,1,2,0,0,4,0,0,4,4,2
