date,11000405-百事可乐330m...,11001020-韩国海牌海苔 /...,11002170-三养辣火鸡味拌面,11002561-乡吧哥蜜汁鸡翅,11002605-老板仔香脆海苔卷...,11005780-大丰古法瓜子,11008516-李子柒螺蛳粉33...,11008644-洽洽早餐每日坚果...,12000134-百事可乐600m...,12000292-红牛,12001131-旺仔牛奶
2020-04-01,0,0,0,0,0,0,0,0,0,0,0
2020-04-02,0,0,0,0,0,0,0,0,0,0,0
2020-04-03,0,0,0,0,0,0,0,0,0,0,0
2020-04-04,0,0,0,0,0,0,0,0,0,0,0
2020-04-05,0,0,0,0,0,0,0,0,0,0,0
2020-04-06,0,0,0,0,0,0,0,0,0,0,0
2020-04-07,0,0,0,0,0,0,0,0,0,0,0
2020-04-08,0,0,0,0,0,0,0,0,0,0,0
2020-04-09,0,0,0,0,0,0,0,0,0,0,0
2020-04-10,0,0,0,0,0,0,0,0,0,0,0
2020-04-11,0,0,0,0,0,0,0,0,0,0,0
2020-04-12,0,0,0,0,0,0,0,0,0,0,0
2020-04-13,0,0,0,0,0,0,0,0,0,0,0
2020-04-14,0,0,0,0,0,0,0,0,0,0,0
2020-04-15,0,0,0,0,0,0,0,0,0,0,0
2020-04-16,0,0,0,0,0,0,0,0,0,0,0
2020-04-17,0,0,0,0,0,0,0,0,0,0,0
2020-04-18,0,0,0,0,0,0,0,0,0,0,0
2020-04-19,0,0,0,0,0,0,0,0,0,0,0
2020-04-20,0,0,0,0,0,0,0,0,0,0,0
2020-04-21,0,0,0,0,0,0,0,0,0,0,0
2020-04-22,0,0,0,0,0,0,0,0,0,0,0
2020-04-23,0,0,0,0,0,0,0,0,0,0,0
2020-04-24,0,0,0,0,0,0,0,0,0,0,0
2020-04-25,0,0,0,0,0,0,0,0,0,0,0
2020-04-26,0,0,0,0,0,0,0,0,0,0,0
2020-04-27,0,0,0,0,0,0,0,0,0,0,0
2020-04-28,0,0,0,0,0,0,0,0,0,0,0
2020-04-29,0,0,0,0,0,0,0,0,0,0,0
2020-04-30,0,4,0,0,0,1,0,0,9,16,0
2020-05-01,0,32,0,10,0,4,0,0,14,4,0
2020-05-02,5,1,0,0,0,5,0,0,1,0,0
2020-05-03,18,2,0,1,0,2,0,0,0,1,0
2020-05-04,1,0,0,1,0,3,0,0,0,3,0
2020-05-05,0,0,0,0,0,2,0,0,0,0,0
2020-05-06,0,0,0,0,0,2,0,0,0,0,0
2020-05-07,0,0,0,0,0,1,0,0,0,0,0
2020-05-08,0,0,0,0,0,4,0,0,0,0,0
2020-05-09,0,3,0,0,0,2,0,0,0,0,0
2020-05-10,0,10,0,0,0,2,0,0,0,0,0
2020-05-11,6,2,0,0,0,0,0,0,0,0,0
2020-05-12,9,1,0,0,0,1,0,0,0,0,0
2020-05-13,9,2,0,0,0,0,0,0,0,0,0
2020-05-14,0,2,0,0,0,0,0,0,0,0,0
2020-05-15,0,1,0,0,0,1,0,0,0,0,0
2020-05-16,0,3,0,0,0,1,0,0,0,5,0
2020-05-17,0,8,0,0,0,2,0,0,0,4,0
2020-05-18,0,0,0,0,0,0,0,0,0,0,0
2020-05-19,0,2,0,0,0,0,0,0,0,1,0
2020-05-20,0,1,0,0,0,0,0,0,0,0,0
2020-05-21,0,7,0,0,0,0,0,0,0,4,0
2020-05-22,0,8,0,0,0,1,0,0,0,4,0
2020-05-23,0,4,0,0,0,0,0,0,0,2,0
2020-05-24,0,4,0,0,0,1,0,0,0,1,0
2020-05-25,0,1,0,0,0,0,0,0,0,3,0
2020-05-26,0,4,0,0,0,1,0,0,0,1,0
2020-05-27,2,5,0,0,0,0,0,0,0,4,0
2020-05-28,7,2,0,2,0,0,0,0,0,9,0
2020-05-29,2,2,0,5,0,0,0,0,0,3,1
2020-05-30,8,7,0,20,0,0,0,0,0,0,0
2020-05-31,16,3,0,9,0,0,0,0,0,6,3
2020-06-01,13,2,0,2,0,2,0,0,2,7,0
2020-06-02,0,1,0,4,0,0,0,0,1,9,4
2020-06-03,4,3,0,0,0,0,0,0,0,2,9
2020-06-04,6,1,0,4,0,0,0,0,2,4,0
2020-06-05,1,7,0,9,0,1,0,0,3,0,0
2020-06-06,9,6,0,0,0,0,0,0,2,2,3
2020-06-07,9,4,0,0,0,0,0,0,14,1,3
2020-06-08,13,7,0,0,0,1,0,0,8,3,0
2020-06-09,6,1,0,0,0,0,0,0,5,2,0
2020-06-10,1,0,0,0,0,0,0,0,4,3,0
2020-06-11,2,1,0,4,0,0,0,0,2,5,0
2020-06-12,6,1,0,7,0,0,0,0,7,2,0
2020-06-13,7,0,0,10,0,0,0,0,5,3,1
2020-06-14,5,2,0,4,0,0,0,0,2,12,1
2020-06-15,5,2,0,5,0,0,0,0,3,1,0
2020-06-16,1,1,0,2,0,0,0,0,7,3,0
2020-06-17,4,0,0,3,0,0,0,0,7,1,0
2020-06-18,9,0,0,4,0,0,0,0,12,2,0
2020-06-19,0,0,0,6,0,0,0,0,1,1,0
2020-06-20,2,0,0,10,0,0,0,0,1,1,0
2020-06-21,2,0,0,13,0,0,0,0,4,1,1
2020-06-22,2,1,0,1,0,0,0,0,5,4,0
2020-06-23,5,0,0,3,0,0,0,0,3,1,0
