product_a_id,product_a_name,product_b_id,product_b_name,corr,nonzero_both_days,product_a_nonzero_days,product_b_nonzero_days,n_days
11002605,老板仔香脆海苔卷（原味）,11008644,洽洽早餐每日坚果（燕麦片）,-0.06298128148716708,11,546,17,730
11005780,大丰古法瓜子,11008644,洽洽早餐每日坚果（燕麦片）,-0.05534909111186036,16,701,17,730
11001020,韩国海牌海苔 / 韩国海飘海苔,11008644,洽洽早餐每日坚果（燕麦片）,-0.02630891986222728,17,701,17,730
11004973,特仑苏纯牛奶,11008516,李子柒螺蛳粉335g,-0.024902300566849445,254,391,491,730
11004973,特仑苏纯牛奶,12000292,红牛,-0.017887806802653342,390,391,728,730
11004973,特仑苏纯牛奶,11008644,洽洽早餐每日坚果（燕麦片）,-0.016451681100730007,9,391,17,730
11000405,百事可乐330ml,11008644,洽洽早餐每日坚果（燕麦片）,-0.008560667151534605,17,707,17,730
11008516,李子柒螺蛳粉335g,11008644,洽洽早餐每日坚果（燕麦片）,-0.003660164972810156,16,491,17,730
11008644,洽洽早餐每日坚果（燕麦片）,12000292,红牛,0.018067575392731416,17,17,728,730
11002170,三养辣火鸡味拌面,11008644,洽洽早餐每日坚果（燕麦片）,0.01863071497238245,14,530,17,730
11000405,百事可乐330ml,11004973,特仑苏纯牛奶,0.019736462406492492,375,707,391,730
11002561,乡吧哥蜜汁鸡翅,11004973,特仑苏纯牛奶,0.020318916218666865,380,710,391,730
11004973,特仑苏纯牛奶,11005780,大丰古法瓜子,0.020426866642693338,377,391,701,730
11002170,三养辣火鸡味拌面,11004973,特仑苏纯牛奶,0.022911661386726373,288,530,391,730
11002561,乡吧哥蜜汁鸡翅,11008644,洽洽早餐每日坚果（燕麦片）,0.0238964470781826,17,710,17,730
11001020,韩国海牌海苔 / 韩国海飘海苔,11004973,特仑苏纯牛奶,0.028309985864461353,374,701,391,730
11008644,洽洽早餐每日坚果（燕麦片）,12001131,旺仔牛奶,0.034275044959012575,17,17,681,730
11004973,特仑苏纯牛奶,12000134,百事可乐600ml,0.0355682161436398,391,391,728,730
11001020,韩国海牌海苔 / 韩国海飘海苔,12000292,红牛,0.03736929951250836,699,701,728,730
11008644,洽洽早餐每日坚果（燕麦片）,12000134,百事可乐600ml,0.04098807470776368,17,17,728,730
11004973,特仑苏纯牛奶,12001131,旺仔牛奶,0.04480284499140498,368,391,681,730
11008516,李子柒螺蛳粉335g,12000292,红牛,0.053847913940089566,491,491,728,730
11005780,大丰古法瓜子,12000292,红牛,0.06531161828445428,699,701,728,730
11000405,百事可乐330ml,11005780,大丰古法瓜子,0.08464647315364125,679,707,701,730
11002605,老板仔香脆海苔卷（原味）,11004973,特仑苏纯牛奶,0.09138696337423541,301,546,391,730
