date,weather,max_temperature,min_temperature,avg_temperature,temperature_range,wind_power,is_holiday,is_weekend,is_activity_day,weekday,month,daily_total_sales
2020-04-01,多云,16.0,6.0,11.0,10.0,5.0,0.0,0,0.0,3,4,32
2020-04-02,多云,18.0,10.0,14.0,8.0,5.0,0.0,0,0.0,4,4,27
2020-04-03,阴,17.0,8.0,12.5,9.0,4.0,0.0,0,0.0,5,4,30
2020-04-04,多云,18.0,9.0,13.5,9.0,5.0,1.0,1,0.0,6,4,21
2020-04-05,阴,13.0,7.0,10.0,6.0,5.0,1.0,1,0.0,7,4,35
2020-04-06,阴,16.0,6.0,11.0,10.0,2.0,1.0,0,0.0,1,4,35
2020-04-07,多云,18.0,6.0,12.0,12.0,4.0,0.0,0,0.0,2,4,17
2020-04-08,晴,22.0,9.0,15.5,13.0,4.0,0.0,0,1.0,3,4,90
2020-04-09,晴,22.0,11.0,16.5,11.0,5.0,0.0,0,0.0,4,4,38
2020-04-10,多云,24.0,14.0,19.0,10.0,5.0,0.0,0,0.0,5,4,14
2020-04-11,中雨,18.0,8.0,13.0,10.0,6.0,0.0,1,0.0,6,4,15
2020-04-12,晴,17.0,9.0,13.0,8.0,8.0,0.0,1,0.0,7,4,45
2020-04-13,晴,19.0,6.0,12.5,13.0,6.0,0.0,0,0.0,1,4,29
2020-04-14,阴,21.0,14.0,17.5,7.0,4.0,0.0,0,0.0,2,4,28
2020-04-15,多云,23.0,12.0,17.5,11.0,4.0,0.0,0,0.0,3,4,15
2020-04-16,多云,27.0,17.0,22.0,10.0,7.0,0.0,0,0.0,4,4,17
2020-04-17,雷阵雨,28.0,16.0,22.0,12.0,6.0,0.0,0,0.0,5,4,30
2020-04-18,阴,22.0,15.0,18.5,7.0,5.0,0.0,1,0.0,6,4,72
2020-04-19,小雨,22.0,12.0,17.0,10.0,6.0,0.0,1,0.0,7,4,20
2020-04-20,多云,22.0,13.0,17.5,9.0,4.0,0.0,0,0.0,1,4,25
2020-04-21,小雨,16.0,11.0,13.5,5.0,5.0,0.0,0,0.0,2,4,18
2020-04-22,阴,18.0,11.0,14.5,7.0,4.0,0.0,0,0.0,3,4,23
2020-04-23,多云,19.0,9.0,14.0,10.0,4.0,0.0,0,0.0,4,4,19
2020-04-24,多云,23.0,11.0,17.0,12.0,4.0,0.0,0,0.0,5,4,27
2020-04-25,阴,24.0,13.0,18.5,11.0,4.0,0.0,1,0.0,6,4,21
2020-04-26,阴,26.0,12.0,19.0,14.0,4.0,0.0,1,0.0,7,4,21
2020-04-27,小雨,21.0,10.0,15.5,11.0,6.0,0.0,0,0.0,1,4,25
2020-04-28,晴,21.0,11.0,16.0,10.0,5.0,0.0,0,0.0,2,4,29
2020-04-29,晴,27.0,17.0,22.0,10.0,5.0,0.0,0,0.0,3,4,65
2020-04-30,多云,32.0,21.0,26.5,11.0,5.0,0.0,0,0.0,4,4,95
2020-05-01,阴,27.0,21.0,24.0,6.0,5.0,1.0,0,0.0,5,5,123
2020-05-02,小雨,30.0,21.0,25.5,9.0,5.0,1.0,1,0.0,6,5,63
2020-05-03,晴,35.0,21.0,28.0,14.0,4.0,1.0,1,0.0,7,5,60
2020-05-04,晴,35.0,21.0,28.0,14.0,5.0,1.0,0,0.0,1,5,43
2020-05-05,雷阵雨,27.0,20.0,23.5,7.0,4.0,1.0,0,0.0,2,5,39
2020-05-06,阴,24.0,17.0,20.5,7.0,5.0,0.0,0,0.0,3,5,23
2020-05-07,多云,27.0,20.0,23.5,7.0,5.0,0.0,0,0.0,4,5,36
2020-05-08,阴,28.0,21.0,24.5,7.0,5.0,0.0,0,1.0,5,5,80
2020-05-09,小雨,27.0,19.0,23.0,8.0,4.0,0.0,1,0.0,6,5,29
2020-05-10,小雨,21.0,16.0,18.5,5.0,4.0,0.0,1,0.0,7,5,53
2020-05-11,多云,26.0,17.0,21.5,9.0,4.0,0.0,0,0.0,1,5,42
2020-05-12,多云,28.0,16.0,22.0,12.0,4.0,0.0,0,0.0,2,5,29
2020-05-13,多云,27.0,17.0,22.0,10.0,5.0,0.0,0,0.0,3,5,33
2020-05-14,阴,28.0,22.0,25.0,6.0,4.0,0.0,0,0.0,4,5,46
2020-05-15,雷阵雨,31.0,22.0,26.5,9.0,2.0,0.0,0,0.0,5,5,31
2020-05-16,雷阵雨,29.0,21.0,25.0,8.0,2.0,0.0,1,0.0,6,5,54
2020-05-17,中雨,30.0,22.0,26.0,8.0,4.0,0.0,1,0.0,7,5,60
2020-05-18,阴,32.0,15.0,23.5,17.0,6.0,0.0,0,0.0,1,5,49
2020-05-19,晴,28.0,16.0,22.0,12.0,2.0,0.0,0,0.0,2,5,31
2020-05-20,多云,30.0,20.0,25.0,10.0,5.0,0.0,0,0.0,3,5,51
2020-05-21,小雨,26.0,20.0,23.0,6.0,5.0,0.0,0,0.0,4,5,26
2020-05-22,小雨,23.0,17.0,20.0,6.0,4.0,0.0,0,0.0,5,5,40
2020-05-23,多云,27.0,20.0,23.5,7.0,5.0,0.0,1,0.0,6,5,44
2020-05-24,晴,32.0,20.0,26.0,12.0,4.0,0.0,1,0.0,7,5,29
2020-05-25,小雨,27.0,21.0,24.0,6.0,4.0,0.0,0,0.0,1,5,39
2020-05-26,小到中雨,23.0,18.0,20.5,5.0,5.0,0.0,0,0.0,2,5,41
2020-05-27,多云,27.0,18.0,22.5,9.0,4.0,0.0,0,0.0,3,5,46
2020-05-28,阴,32.0,21.0,26.5,11.0,4.0,0.0,0,0.0,4,5,55
2020-05-29,小雨,26.0,20.0,23.0,6.0,4.0,0.0,0,0.0,5,5,35
2020-05-30,中到大雨,22.0,20.0,21.0,2.0,4.0,0.0,1,0.0,6,5,66
2020-05-31,阴,29.0,20.0,24.5,9.0,5.0,0.0,1,0.0,7,5,85
2020-06-01,小雨,27.0,19.0,23.0,8.0,5.0,0.0,0,0.0,1,6,96
2020-06-02,小到中雨,29.0,21.0,25.0,8.0,2.0,0.0,0,0.0,2,6,48
2020-06-03,大雨,28.0,23.0,25.5,5.0,5.0,0.0,0,0.0,3,6,40
2020-06-04,小到中雨,27.0,22.0,24.5,5.0,2.0,0.0,0,0.0,4,6,62
2020-06-05,中雨,27.0,22.0,24.5,5.0,4.0,0.0,0,0.0,5,6,41
2020-06-06,小雨,25.0,21.0,23.0,4.0,6.0,0.0,1,0.0,6,6,46
2020-06-07,阴,27.0,22.0,24.5,5.0,5.0,0.0,1,0.0,7,6,66
2020-06-08,小雨,27.0,23.0,25.0,4.0,5.0,0.0,0,1.0,1,6,149
2020-06-09,小雨,30.0,23.0,26.5,7.0,4.0,0.0,0,0.0,2,6,46
2020-06-10,小雨,31.0,24.0,27.5,7.0,2.0,0.0,0,0.0,3,6,34
2020-06-11,小雨,31.0,25.0,28.0,6.0,4.0,0.0,0,0.0,4,6,35
2020-06-12,雷阵雨,35.0,26.0,30.5,9.0,4.0,0.0,0,0.0,5,6,71
2020-06-13,阴,35.0,26.0,30.5,9.0,4.0,0.0,1,0.0,6,6,81
2020-06-14,小雨,37.0,26.0,31.5,11.0,4.0,0.0,1,0.0,7,6,58
2020-06-15,雷阵雨,31.0,26.0,28.5,5.0,4.0,0.0,0,0.0,1,6,43
2020-06-16,雷阵雨,31.0,25.0,28.0,6.0,5.0,0.0,0,0.0,2,6,38
2020-06-17,多云,37.0,27.0,32.0,10.0,4.0,0.0,0,0.0,3,6,112
2020-06-18,小雨,36.0,22.0,29.0,14.0,6.0,0.0,0,0.0,4,6,59
2020-06-19,大雨,23.0,21.0,22.0,2.0,2.0,0.0,0,0.0,5,6,23
2020-06-20,中雨,22.0,21.0,21.5,1.0,2.0,0.0,1,0.0,6,6,45
2020-06-21,中到大雨,24.0,22.0,23.0,2.0,4.0,0.0,1,0.0,7,6,51
2020-06-22,中雨,26.0,23.0,24.5,3.0,4.0,0.0,0,0.0,1,6,59
2020-06-23,阴,32.0,26.0,29.0,6.0,5.0,0.0,0,0.0,2,6,52
2020-06-24,小到中雨,29.0,24.0,26.5,5.0,4.0,0.0,0,0.0,3,6,41
2020-06-25,中雨,27.0,24.0,25.5,3.0,4.0,1.0,0,0.0,4,6,61
2020-06-26,雷阵雨,32.0,26.0,29.0,6.0,2.0,1.0,0,0.0,5,6,48
2020-06-27,中到大雨,31.0,24.0,27.5,7.0,5.0,1.0,1,0.0,6,6,59
2020-06-28,阴,34.0,26.0,30.0,8.0,4.0,0.0,1,0.0,7,6,49
2020-06-29,小到中雨,31.0,24.0,27.5,7.0,7.0,0.0,0,0.0,1,6,46
2020-06-30,小雨,27.0,21.0,24.0,6.0,2.0,0.0,0,0.0,2,6,37
2020-07-01,阴,30.0,23.0,26.5,7.0,4.0,0.0,0,0.0,3,7,181
2020-07-02,中雨,27.0,24.0,25.5,3.0,5.0,0.0,0,0.0,4,7,170
2020-07-03,小到中雨,27.0,23.0,25.0,4.0,2.0,0.0,0,0.0,5,7,150
2020-07-04,小到中雨,27.0,23.0,25.0,4.0,5.0,0.0,1,0.0,6,7,140
2020-07-05,雷阵雨,30.0,25.0,27.5,5.0,5.0,0.0,1,0.0,7,7,145
2020-07-06,雷阵雨,31.0,25.0,28.0,6.0,4.0,0.0,0,0.0,1,7,68
2020-07-07,中雨,29.0,25.0,27.0,4.0,5.0,0.0,0,0.0,2,7,81
2020-07-08,中雨,28.0,25.0,26.5,3.0,4.0,0.0,0,1.0,3,7,148
2020-07-09,小到中雨,30.0,25.0,27.5,5.0,4.0,0.0,0,0.0,4,7,99
2020-07-10,中雨,30.0,25.0,27.5,5.0,4.0,0.0,0,0.0,5,7,77
2020-07-11,阴,32.0,26.0,29.0,6.0,2.0,0.0,1,0.0,6,7,117
2020-07-12,多云,37.0,26.0,31.5,11.0,5.0,0.0,1,0.0,7,7,93
2020-07-13,小雨,33.0,24.0,28.5,9.0,4.0,0.0,0,0.0,1,7,78
2020-07-14,小雨,29.0,23.0,26.0,6.0,4.0,0.0,0,0.0,2,7,80
2020-07-15,小到中雨,26.0,22.0,24.0,4.0,4.0,0.0,0,0.0,3,7,73
2020-07-16,小雨,26.0,23.0,24.5,3.0,4.0,0.0,0,0.0,4,7,118
2020-07-17,雷阵雨,31.0,25.0,28.0,6.0,4.0,0.0,0,0.0,5,7,93
2020-07-18,多云,36.0,26.0,31.0,10.0,4.0,0.0,1,0.0,6,7,123
2020-07-19,阴,37.0,26.0,31.5,11.0,5.0,0.0,1,0.0,7,7,169
2020-07-20,小雨,31.0,26.0,28.5,5.0,4.0,0.0,0,0.0,1,7,120
2020-07-21,雷阵雨,34.0,25.0,29.5,9.0,2.0,0.0,0,0.0,2,7,78
2020-07-22,多云,36.0,26.0,31.0,10.0,4.0,0.0,0,0.0,3,7,116
2020-07-23,多云,37.0,26.0,31.5,11.0,7.0,0.0,0,0.0,4,7,79
2020-07-24,小雨,29.0,22.0,25.5,7.0,5.0,0.0,0,0.0,5,7,72
2020-07-25,小雨,30.0,24.0,27.0,6.0,2.0,0.0,1,0.0,6,7,98
2020-07-26,小雨,29.0,25.0,27.0,4.0,4.0,0.0,1,0.0,7,7,81
2020-07-27,雷阵雨,34.0,26.0,30.0,8.0,4.0,0.0,0,0.0,1,7,86
2020-07-28,小雨,34.0,26.0,30.0,8.0,5.0,0.0,0,0.0,2,7,85
2020-07-29,雷阵雨,35.0,26.0,30.5,9.0,5.0,0.0,0,0.0,3,7,56
2020-07-30,多云,34.0,27.0,30.5,7.0,6.0,0.0,0,0.0,4,7,114
2020-07-31,多云,34.0,27.0,30.5,7.0,6.0,0.0,0,0.0,5,7,77
2020-08-01,多云,35.0,27.0,31.0,8.0,6.0,0.0,1,0.0,6,8,50
2020-08-02,多云,35.0,26.0,30.5,9.0,6.0,0.0,1,0.0,7,8,56
2020-08-03,小雨,33.0,27.0,30.0,6.0,6.0,0.0,0,0.0,1,8,58
