feature,importance_mean_mae_increase,importance_std,feature_group
category,0.34872420788991426,0.023381876127982537,商品类别
product_id_str,0.27120438598013114,0.012726433545940653,商品
store_id_str,0.2437343514788833,0.048447610392074514,门店
is_activity_day,0.05164908627235363,0.012810491488392048,活动日
weather,0.028444578388673314,0.045030381616243155,天气
min_temperature,0.026468578931292442,0.010752100178194947,最低温
max_temperature,0.022113455593160847,0.007369454335795007,最高温
wind_power,0.01562960324771203,0.046581695282478935,风力
is_holiday,0.0,0.0,节假日
month,0.0,0.0,月份
is_weekend,-0.00022331314346981656,0.0007097672021637312,周末
weekday,-0.0014847933817660585,0.02044920623445667,星期
