validation_mode,level,model,model_label,strategy_rule,threshold_rule,low_volume_selected_share,MAE,RMSE,WAPE,WAPE_pct,actual_sum,prediction_sum,abs_error_sum,bias,bias_pct_of_actual,n,WAPE_pct_point_change_vs_current,WAPE_pct_point_change_vs_q1,WAPE_pct_point_change_vs_ridge
strict_recursive_7day,category,hybrid_avg_lt_0_3_or_zero_ge_0_75_recent28_mean,历史均值 <0.3 或零销量比例 >=0.75-低销量用近28日均值,低销量序列使用窗口开始日前近 28 日均值，常规序列使用完整 Ridge,历史均值 <0.3 或零销量比例 >=0.75,0.35855263157894735,7.561205773278729,13.848349689524074,0.334659176687302,33.4659176687302,5061.0,4840.749136079239,1693.7100932144353,-220.25086392076082,-0.043519238079581274,224,-42.38669664710514,-42.88022300674835,-43.217942863837365
strict_recursive_7day,category,hybrid_zero_ge_0_75_recent28_mean,零销量比例 >=0.75-低销量用近28日均值,低销量序列使用窗口开始日前近 28 日均值，常规序列使用完整 Ridge,零销量比例 >=0.75,0.35855263157894735,7.561205773278729,13.848349689524074,0.334659176687302,33.4659176687302,5061.0,4840.749136079239,1693.7100932144353,-220.25086392076082,-0.043519238079581274,224,-42.38669664710514,-42.88022300674835,-43.217942863837365
strict_recursive_7day,category,hybrid_avg_lt_0_3_recent28_mean,历史均值 <0.3-低销量用近28日均值,低销量序列使用窗口开始日前近 28 日均值，常规序列使用完整 Ridge,历史均值 <0.3,0.27631578947368424,7.570227026577504,13.725831731537452,0.3350584576078563,33.50584576078563,5061.0,4951.571324065923,1695.7308539533608,-109.42867593407664,-0.02162194742819139,224,-42.34676855504971,-42.84029491469292,-43.17801477178193
strict_recursive_7day,category,hybrid_current_rule_recent28_mean,当前低销量规则-低销量用近28日均值,低销量序列使用窗口开始日前近 28 日均值，常规序列使用完整 Ridge,当前低销量规则,0.39473684210526316,7.5715025364468955,13.850219476898017,0.33511491170995944,33.511491170995946,5061.0,4837.885668517885,1696.0165681641047,-223.11433148211472,-0.04408502894331451,224,-42.34112314483939,-42.834649504482606,-43.17236936157162
strict_recursive_7day,category,hybrid_avg_lt_0_2_recent28_mean,历史均值 <0.2-低销量用近28日均值,低销量序列使用窗口开始日前近 28 日均值，常规序列使用完整 Ridge,历史均值 <0.2,0.22039473684210525,7.608885140030807,13.755079011544776,0.33676946677868025,33.676946677868024,5061.0,4953.822745552905,1704.3902713669008,-107.17725444709504,-0.021177090386701253,224,-42.175667637967315,-42.66919399761053,-43.00691385469954
strict_recursive_7day,category,hybrid_avg_lt_0_3_q1_exp_smoothing,历史均值 <0.3-低销量用指数平滑,低销量序列使用问题一门店-商品指数平滑，常规序列使用完整 Ridge,历史均值 <0.3,0.27631578947368424,7.609415667030979,13.769584723186165,0.3367929479183836,33.67929479183836,5061.0,4987.332277908508,1704.5091094149393,-73.66772209149167,-0.014555961685732399,224,-42.17331952399698,-42.66684588364019,-43.004565740729205
strict_recursive_7day,category,hybrid_avg_lt_0_2_q1_exp_smoothing,历史均值 <0.2-低销量用指数平滑,低销量序列使用问题一门店-商品指数平滑，常规序列使用完整 Ridge,历史均值 <0.2,0.22039473684210525,7.645888269545567,13.813271513126097,0.3384072263146033,33.84072263146033,5061.0,4987.946372817154,1712.6789723782072,-73.05362718284596,-0.014434623035535657,224,-42.01189168437501,-42.50541804401822,-42.843137901107234
strict_recursive_7day,category,hybrid_avg_lt_0_3_q1_hierarchy_blend,历史均值 <0.3-低销量指数平滑+层级收缩,低销量序列使用 70% 指数平滑 + 30% 层级收缩目标，常规序列使用完整 Ridge,历史均值 <0.3,0.27631578947368424,7.646629012401477,13.791211760264709,0.33844001161389664,33.84400116138966,5061.0,5033.082010775202,1712.844898777931,-27.917989224797566,-0.00551629899719375,224,-42.008613154445676,-42.50213951408889,-42.8398593711779
strict_recursive_7day,category,hybrid_avg_lt_0_2_q1_hierarchy_blend,历史均值 <0.2-低销量指数平滑+层级收缩,低销量序列使用 70% 指数平滑 + 30% 层级收缩目标，常规序列使用完整 Ridge,历史均值 <0.2,0.22039473684210525,7.67207111853439,13.814827059713549,0.33956607993513205,33.9566079935132,5061.0,5031.874006491154,1718.5439305517034,-29.125993508845568,-0.0057549878499991245,224,-41.89600632232214,-42.38953268196535,-42.72725253905436
strict_recursive_7day,category,hybrid_avg_lt_0_3_or_zero_ge_0_75_q1_hierarchy_blend,历史均值 <0.3 或零销量比例 >=0.75-低销量指数平滑+层级收缩,低销量序列使用 70% 指数平滑 + 30% 层级收缩目标，常规序列使用完整 Ridge,历史均值 <0.3 或零销量比例 >=0.75,0.35855263157894735,7.7038024487385695,13.953261075913632,0.3409705094877375,34.09705094877375,5061.0,4979.395172552504,1725.6517485174395,-81.60482744749606,-0.01612424964384431,224,-41.75556336706159,-42.2490897267048,-42.586809583793816
