store_id,store_name,product_id,product_name,category,predicted_7day_sales
14,C地彩虹南路店,11000405,百事可乐330ml,碳酸饮料,19
14,C地彩虹南路店,11001020,韩国海牌海苔 / 韩国海飘海苔,包装海苔,0
14,C地彩虹南路店,11002170,三养辣火鸡味拌面,速食类,0
14,C地彩虹南路店,11002561,乡吧哥蜜汁鸡翅,包装散称,33
14,C地彩虹南路店,11002605,老板仔香脆海苔卷（原味）,包装海苔,0
14,C地彩虹南路店,11004973,特仑苏纯牛奶,乳类饮品,0
14,C地彩虹南路店,11005780,大丰古法瓜子,包装坚果,1
14,C地彩虹南路店,11008516,李子柒螺蛳粉335g,速食类,14
14,C地彩虹南路店,11008644,洽洽早餐每日坚果（燕麦片）,包装冲饮,0
14,C地彩虹南路店,12000134,百事可乐600ml,碳酸饮料,7
14,C地彩虹南路店,12000292,红牛,功能饮料,43
14,C地彩虹南路店,12001131,旺仔牛奶,乳类饮品,14
18,A地天九街店,11000405,百事可乐330ml,碳酸饮料,28
18,A地天九街店,11001020,韩国海牌海苔 / 韩国海飘海苔,包装海苔,11
18,A地天九街店,11002170,三养辣火鸡味拌面,速食类,7
18,A地天九街店,11002561,乡吧哥蜜汁鸡翅,包装散称,30
18,A地天九街店,11002605,老板仔香脆海苔卷（原味）,包装海苔,7
18,A地天九街店,11005780,大丰古法瓜子,包装坚果,11
18,A地天九街店,11008516,李子柒螺蛳粉335g,速食类,0
18,A地天九街店,12000134,百事可乐600ml,碳酸饮料,22
18,A地天九街店,12000292,红牛,功能饮料,101
18,A地天九街店,12001131,旺仔牛奶,乳类饮品,16
23,C地姜山店,11000405,百事可乐330ml,碳酸饮料,12
23,C地姜山店,11001020,韩国海牌海苔 / 韩国海飘海苔,包装海苔,3
23,C地姜山店,11002170,三养辣火鸡味拌面,速食类,7
23,C地姜山店,11002561,乡吧哥蜜汁鸡翅,包装散称,105
23,C地姜山店,11002605,老板仔香脆海苔卷（原味）,包装海苔,1
23,C地姜山店,11004973,特仑苏纯牛奶,乳类饮品,0
23,C地姜山店,11005780,大丰古法瓜子,包装坚果,6
23,C地姜山店,11008516,李子柒螺蛳粉335g,速食类,7
23,C地姜山店,12000134,百事可乐600ml,碳酸饮料,9
23,C地姜山店,12000292,红牛,功能饮料,26
23,C地姜山店,12001131,旺仔牛奶,乳类饮品,7
47,C地桑田路店,11000405,百事可乐330ml,碳酸饮料,13
47,C地桑田路店,11001020,韩国海牌海苔 / 韩国海飘海苔,包装海苔,14
47,C地桑田路店,11002170,三养辣火鸡味拌面,速食类,7
47,C地桑田路店,11002561,乡吧哥蜜汁鸡翅,包装散称,44
47,C地桑田路店,11002605,老板仔香脆海苔卷（原味）,包装海苔,7
47,C地桑田路店,11005780,大丰古法瓜子,包装坚果,7
47,C地桑田路店,11008516,李子柒螺蛳粉335g,速食类,7
47,C地桑田路店,11008644,洽洽早餐每日坚果（燕麦片）,包装冲饮,0
47,C地桑田路店,12000134,百事可乐600ml,碳酸饮料,16
47,C地桑田路店,12000292,红牛,功能饮料,24
47,C地桑田路店,12001131,旺仔牛奶,乳类饮品,11
69,B地江山店店,11000405,百事可乐330ml,碳酸饮料,23
69,B地江山店店,11001020,韩国海牌海苔 / 韩国海飘海苔,包装海苔,7
69,B地江山店店,11002170,三养辣火鸡味拌面,速食类,7
69,B地江山店店,11002561,乡吧哥蜜汁鸡翅,包装散称,161
69,B地江山店店,11002605,老板仔香脆海苔卷（原味）,包装海苔,5
69,B地江山店店,11005780,大丰古法瓜子,包装坚果,14
69,B地江山店店,11008516,李子柒螺蛳粉335g,速食类,11
69,B地江山店店,11008644,洽洽早餐每日坚果（燕麦片）,包装冲饮,0
69,B地江山店店,12000134,百事可乐600ml,碳酸饮料,37
69,B地江山店店,12000292,红牛,功能饮料,45
69,B地江山店店,12001131,旺仔牛奶,乳类饮品,13
178,C地五乡镇店,11000405,百事可乐330ml,碳酸饮料,35
178,C地五乡镇店,11001020,韩国海牌海苔 / 韩国海飘海苔,包装海苔,7
178,C地五乡镇店,11002170,三养辣火鸡味拌面,速食类,7
178,C地五乡镇店,11002561,乡吧哥蜜汁鸡翅,包装散称,63
178,C地五乡镇店,11002605,老板仔香脆海苔卷（原味）,包装海苔,0
178,C地五乡镇店,11004973,特仑苏纯牛奶,乳类饮品,0
178,C地五乡镇店,11005780,大丰古法瓜子,包装坚果,7
178,C地五乡镇店,11008516,李子柒螺蛳粉335g,速食类,16
178,C地五乡镇店,12000134,百事可乐600ml,碳酸饮料,19
178,C地五乡镇店,12000292,红牛,功能饮料,119
178,C地五乡镇店,12001131,旺仔牛奶,乳类饮品,28
276,A地双桥路店,11000405,百事可乐330ml,碳酸饮料,0
276,A地双桥路店,11001020,韩国海牌海苔 / 韩国海飘海苔,包装海苔,0
276,A地双桥路店,11002170,三养辣火鸡味拌面,速食类,0
276,A地双桥路店,11002561,乡吧哥蜜汁鸡翅,包装散称,0
276,A地双桥路店,11002605,老板仔香脆海苔卷（原味）,包装海苔,0
276,A地双桥路店,11005780,大丰古法瓜子,包装坚果,0
276,A地双桥路店,11008516,李子柒螺蛳粉335g,速食类,0
276,A地双桥路店,12000134,百事可乐600ml,碳酸饮料,0
276,A地双桥路店,12000292,红牛,功能饮料,7
276,A地双桥路店,12001131,旺仔牛奶,乳类饮品,0
