date,category,predicted_daily_sales
2022-04-01,乳类饮品,11
2022-04-01,功能饮料,48
2022-04-01,包装冲饮,0
2022-04-01,包装坚果,6
2022-04-01,包装散称,59
2022-04-01,包装海苔,7
2022-04-01,碳酸饮料,30
2022-04-01,速食类,12
2022-04-02,乳类饮品,14
2022-04-02,功能饮料,52
2022-04-02,包装冲饮,0
2022-04-02,包装坚果,8
2022-04-02,包装散称,62
2022-04-02,包装海苔,11
2022-04-02,碳酸饮料,37
2022-04-02,速食类,14
2022-04-03,乳类饮品,12
2022-04-03,功能饮料,52
2022-04-03,包装冲饮,0
2022-04-03,包装坚果,6
2022-04-03,包装散称,62
2022-04-03,包装海苔,10
2022-04-03,碳酸饮料,34
2022-04-03,速食类,14
2022-04-04,乳类饮品,12
2022-04-04,功能饮料,50
2022-04-04,包装冲饮,0
2022-04-04,包装坚果,5
2022-04-04,包装散称,61
2022-04-04,包装海苔,7
2022-04-04,碳酸饮料,32
2022-04-04,速食类,12
2022-04-05,乳类饮品,13
2022-04-05,功能饮料,54
2022-04-05,包装冲饮,0
2022-04-05,包装坚果,7
2022-04-05,包装散称,63
2022-04-05,包装海苔,10
2022-04-05,碳酸饮料,37
2022-04-05,速食类,13
2022-04-06,乳类饮品,13
2022-04-06,功能饮料,53
2022-04-06,包装冲饮,0
2022-04-06,包装坚果,7
2022-04-06,包装散称,64
2022-04-06,包装海苔,9
2022-04-06,碳酸饮料,34
2022-04-06,速食类,12
2022-04-07,乳类饮品,14
2022-04-07,功能饮料,56
2022-04-07,包装冲饮,0
2022-04-07,包装坚果,7
2022-04-07,包装散称,65
2022-04-07,包装海苔,8
2022-04-07,碳酸饮料,36
2022-04-07,速食类,13
