validation_mode,validation_start,validation_end,level,variant,model_label,weather_setting,MAE,RMSE,WAPE,WAPE_pct,actual_sum,prediction_sum,n,MAE_change_vs_full,RMSE_change_vs_full,WAPE_pct_point_change_vs_full,relative_WAPE_change_vs_full_pct
strict_recursive_7day,2022-03-01,2022-03-28,category,historical_weather_scenario,历史同期天气情景Ridge,训练仍使用历史真实天气，验证期天气、温度、风力替换为窗口开始日前历史同月日情景,7.721333983381908,13.76003500768281,0.341746455696018,34.1746455696018,5061.0,5014.183044142961,224,-0.06742502452015664,-0.09810759676340375,-0.2984233450408098,-0.8656709554339908
strict_recursive_7day,2022-03-01,2022-03-28,category,full_external_actual_weather,完整外部变量Ridge,验证期使用附件真实天气、温度、风力,7.7887590079020645,13.858142604446213,0.3447306891464261,34.47306891464261,5061.0,5018.373403211319,224,0.0,0.0,0.0,0.0
strict_recursive_7day,2022-03-01,2022-03-28,category,deterministic_without_weather,去除天气变量Ridge,去除天气、最高温、最低温、风力，保留节假日、活动日、星期等确定性变量,7.881509503277018,13.709442234846653,0.34883582863743373,34.88358286374337,5061.0,5186.9449431788,224,0.09275049537495317,-0.14870036959955968,0.41051394910076056,1.1908250759954766
strict_recursive_7day,2022-03-01,2022-03-28,product,historical_weather_scenario,历史同期天气情景Ridge,训练仍使用历史真实天气，验证期天气、温度、风力替换为窗口开始日前历史同月日情景,5.781333521131376,10.853707431083828,0.3838229723572698,38.38229723572698,5061.0,5014.183044142961,336,-0.04192789662960816,-0.05151401063845995,-0.2783594796986435,-0.7200071166602211
strict_recursive_7day,2022-03-01,2022-03-28,product,full_external_actual_weather,完整外部变量Ridge,验证期使用附件真实天气、温度、风力,5.8232614177609845,10.905221441722288,0.38660656715425623,38.660656715425624,5061.0,5018.373403211319,336,0.0,0.0,0.0,0.0
strict_recursive_7day,2022-03-01,2022-03-28,product,deterministic_without_weather,去除天气变量Ridge,去除天气、最高温、最低温、风力，保留节假日、活动日、星期等确定性变量,5.872754692816754,10.820546302324134,0.3898924277388716,38.98924277388716,5061.0,5186.9449431788,336,0.04949327505576928,-0.08467513939815419,0.3285860584615392,0.8499236339418739
strict_recursive_7day,2022-03-01,2022-03-28,store,historical_weather_scenario,历史同期天气情景Ridge,训练仍使用历史真实天气，验证期天气、温度、风力替换为窗口开始日前历史同月日情景,9.449878692730708,14.314803468570995,0.3659704058042321,36.59704058042321,5061.0,5014.183044142961,196,-0.0771763081261625,-0.13227537508809917,-0.2988847340985572,-0.8100751818817287
strict_recursive_7day,2022-03-01,2022-03-28,store,deterministic_without_weather,去除天气变量Ridge,去除天气、最高温、最低温、风力，保留节假日、活动日、星期等确定性变量,9.471490157298685,14.25189859281118,0.3668073643213875,36.68073643213875,5061.0,5186.9449431788,196,-0.05556484355818547,-0.19518025084791368,-0.2151888823830177,-0.583232106387439
strict_recursive_7day,2022-03-01,2022-03-28,store,full_external_actual_weather,完整外部变量Ridge,验证期使用附件真实天气、温度、风力,9.52705500085687,14.447078843659094,0.3689592531452177,36.89592531452177,5061.0,5018.373403211319,196,0.0,0.0,0.0,0.0
strict_recursive_7day,2022-03-01,2022-03-28,store_product,historical_weather_scenario,历史同期天气情景Ridge,训练仍使用历史真实天气，验证期天气、温度、风力替换为窗口开始日前历史同月日情景,1.821068645992702,3.6992473597720847,0.765705212146309,76.5705212146309,5061.0,5014.183044142961,2128,-0.0026955370680334934,-0.0032335758756243393,-0.11333931793666352,-0.1478007460103446
strict_recursive_7day,2022-03-01,2022-03-28,store_product,full_external_actual_weather,完整外部变量Ridge,验证期使用附件真实天气、温度、风力,1.8237641830607354,3.702480935647709,0.7668386053256757,76.68386053256756,5061.0,5018.373403211319,2128,0.0,0.0,0.0,0.0
strict_recursive_7day,2022-03-01,2022-03-28,store_product,deterministic_without_weather,去除天气变量Ridge,去除天气、最高温、最低温、风力，保留节假日、活动日、星期等确定性变量,1.8485309128918133,3.6975877326345032,0.7772522787262949,77.72522787262949,5061.0,5186.9449431788,2128,0.02476672983107786,-0.004893203013205838,1.0413673400619246,1.3580006703231227
